sentence_id,text,start,end
0,"THIS is a Pussy called Miss Moppet, she thinks she has heard a mouse! ",0,70
1,"THIS is the Mouse peeping out behind the cupboard, and making fun of Miss Moppet. ",70,152
2,He is not afraid of a kitten. ,152,182
3,THIS is Miss Moppet jumping just too late; ,182,225
4, she misses the Mouse and hits her own head. ,224,269
5,SHE thinks it is a very hard cupboard! ,269,308
6,THE Mouse watches Miss Moppet from the top of the cupboard. ,308,368
7,"MISS MOPPET ties up her head in a duster, and sits before the fire. ",368,436
8,THE Mouse thinks she is looking very ill. ,436,478
9,He comes sliding down the bell-pull. ,478,515
10,MISS MOPPET looks worse and worse. ,515,550
11,The Mouse comes a little nearer. ,550,583
12,"MISS MOPPET holds her poor head in her paws, and looks at him through a hole in the duster. ",583,675
13,The Mouse comes VERY close. ,675,703
14,AND then all of a sudden--Miss Moppet jumps upon the Mouse! ,703,763
15,AND because the Mouse has teased Miss Moppet--Miss Moppet thinks she will tease the Mouse; ,763,854
16, which is not at all nice of Miss Moppet. ,853,895
17,"SHE ties him up in the duster, and tosses it about like a ball. ",895,959
18,BUT she forgot about that hole in the duster; ,959,1005
19, and when she untied it--there was no Mouse! ,1004,1049
20,HE has wriggled out and run away; ,1049,1083
21, and he is dancing a jig on the top of the cupboard!,1082,1135
