sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
So she made a fire on her hearth. ,made,BEFORE,"In order to make it burn better, she put in a handful of straw. ",make,1,2,0,0
"In order to make it burn better, she put in a handful of straw. ",make,BEFORE,Soon a red-hot coal jumped out of the fire and joined the pair. ,joined,2,4,0,1
Soon a red-hot coal jumped out of the fire and joined the pair. ,joined,BEFORE,"The straw began first, and said, ""Dear friends, how do you come here?"" ",said,4,5,1,1
"The straw began first, and said, ""Dear friends, how do you come here?"" ",said,AFTER,"The straw began first, and said, ""Dear friends, how do you come here?"" ",come,5,5,1,3
"The straw began first, and said, ""Dear friends, how do you come here?"" ",come,BEFORE,"The coal answered, ""I jumped out of the fire by great good luck, or I should certainly have met with my death. ",answered,5,6,3,0
"The coal answered, ""I jumped out of the fire by great good luck, or I should certainly have met with my death. ",answered,AFTER,"The coal answered, ""I jumped out of the fire by great good luck, or I should certainly have met with my death. ",met,6,6,0,4
"The coal answered, ""I jumped out of the fire by great good luck, or I should certainly have met with my death. ",met,BEFORE,"I should have been burned to ashes."" ",burned,6,7,4,3
"I should have been burned to ashes."" ",burned,BEFORE,"The bean said, ""I too have come out of it with a whole skin. ",said,7,8,3,0
"The bean said, ""I too have come out of it with a whole skin. ",said,AFTER,"If the old woman had kept me in the pot I should have been cooked into a soft mass like my comrades."" ",cooked,8,9,0,5
"If the old woman had kept me in the pot I should have been cooked into a soft mass like my comrades."" ",cooked,BEFORE,"""Nor should I have met with a better fate,"" said the straw. ",met,9,10,5,2
"""Nor should I have met with a better fate,"" said the straw. ",met,BEFORE,"""Nor should I have met with a better fate,"" said the straw. ",said,10,10,2,3
"""Nor should I have met with a better fate,"" said the straw. ",said,AFTER,"""The old woman has turned my brothers into fire and smoke, sixty of them she took up at once and deprived of life. ",turned,10,11,3,1
"""The old woman has turned my brothers into fire and smoke, sixty of them she took up at once and deprived of life. ",turned,AFTER,"""The old woman has turned my brothers into fire and smoke, sixty of them she took up at once and deprived of life. ",deprived,11,11,1,3
