sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
1,0,made,7,11,120,124,1.0,3.0,6.0,116.0,119.0,1,12.0,32.0,125.0,145.0,,,,,verb.creation,1,True
2,0,make,12,16,159,163,,,,,,1,17.0,31.0,164.0,178.0,,,,,verb.change,1,True
4,1,joined,47,53,384,390,,5.0,19.0,342.0,356.0,3,54.0,62.0,391.0,399.0,,,,,verb.contact,1,True
5,3,come,59,63,460,464,20.0,55.0,58.0,456.0,459.0,,64.0,68.0,465.0,469.0,,,,,verb.motion,1,True
6,4,met,92,95,564,567,4.0,68.0,69.0,540.0,541.0,4,96.0,109.0,568.0,581.0,,,,,verb.social,1,True
7,3,burned,19,25,602,608,4.0,0.0,1.0,583.0,584.0,,,,,,,,,,verb.contact,1,True
8,0,said,9,13,629,633,5.0,0.0,8.0,620.0,628.0,5,15.0,59.0,635.0,679.0,,,,,verb.communication,1,True
9,5,cooked,59,65,740,746,5.0,40.0,41.0,721.0,722.0,"5,22",66.0,99.0,747.0,780.0,,,,,verb.change,1,True
10,3,said,44,48,827,831,4.0,1.0,41.0,784.0,824.0,,49.0,58.0,832.0,841.0,,,,,verb.communication,1,True
11,3,deprived,97,105,940,948,21.0,73.0,76.0,916.0,919.0,,106.0,113.0,949.0,956.0,,,,,verb.consumption,1,True
12,1,slip,26,30,984,988,4.0,13.0,14.0,971.0,972.0,,,,,,,,,,verb.motion,1,True
15,6,join,98,102,1153,1157,7.0,90.0,92.0,1145.0,1147.0,,103.0,121.0,1158.0,1176.0,122.0,130.0,1177.0,1185.0,verb.social,1,True
16,1,happen,33,39,1220,1226,,0.0,25.0,1187.0,1212.0,7,40.0,45.0,1227.0,1232.0,46.0,50.0,1233.0,1237.0,verb.change,1,True
17,1,started,56,63,1334,1341,7.0,51.0,55.0,1329.0,1333.0,,,,,,,,,,verb.motion,1,True
18,3,tell,100,104,1460,1464,7.0,85.0,89.0,1445.0,1449.0,7,105.0,143.0,1465.0,1503.0,,,,,verb.cognition,1,True
19,4,lay,57,60,1562,1565,11.0,50.0,51.0,1555.0,1556.0,11,61.0,67.0,1566.0,1572.0,68.0,124.0,1573.0,1629.0,verb.contact,1,True
21,4,struck,93,99,1878,1884,12.0,85.0,88.0,1870.0,1873.0,,100.0,111.0,1885.0,1896.0,,,,,verb.emotion,1,True
23,2,touched,38,45,2052,2059,12.0,34.0,37.0,2048.0,2051.0,,46.0,55.0,2060.0,2069.0,,,,,verb.motion,1,True
24,4,laughing,72,80,2166,2174,15.0,0.0,56.0,2094.0,2150.0,,,,,,,,,,verb.body,1,True
25,3,laughing,47,55,2236,2244,15.0,35.0,38.0,2224.0,2227.0,,,,,,,,,,verb.body,1,True
26,5,stopped,103,110,2379,2386,17.0,58.0,81.0,2334.0,2357.0,,,,,,,,,,verb.motion,1,True
27,2,stitched,67,75,2484,2492,17.0,33.0,35.0,2450.0,2452.0,15,76.0,79.0,2493.0,2496.0,80.0,94.0,2497.0,2511.0,verb.contact,1,True
28,2,sewn,63,67,2576,2580,17.0,56.0,58.0,2569.0,2571.0,15,68.0,71.0,2581.0,2584.0,,,,,verb.change,1,True
