sentence_id,event_id,temporal_rank
0,0,0
1,0,1
3,1,2
1,1,3
8,0,4
3,2,5
9,0,6
10,1,7
10,2,8
11,0,9
12,1,10
11,1,11
13,2,12
13,0,13
14,1,14
15,3,15
15,0,16
15,5,17
17,1,18
16,1,19
19,1,20
18,1,21
18,0,22
22,1,23
22,0,24
22,4,25
25,2,26
31,2,27
26,1,28
26,0,29
36,0,30
32,0,31
37,0,32
37,2,33
38,3,34
38,1,35
39,1,36
40,1,37
44,1,38
41,0,39
45,0,40
46,0,41
45,2,42
47,0,43
50,0,44
48,0,45
50,2,46
51,0,47
53,0,48
56,0,49
56,1,50
62,0,51
61,1,52
62,1,53
67,1,54
66,2,55
66,1,56
67,2,57
69,1,58
71,1,59
69,2,60
71,2,61
72,2,62
75,0,63
75,1,64
76,3,65
76,0,66
75,2,67
77,1,68
78,5,69
78,3,70
78,1,71
79,2,72
