sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"--Listen to the story of Jemima Puddle-duck, who was annoyed because the farmer's wife would not let her hatch her own eggs. ",annoyed,AFTER,"--Listen to the story of Jemima Puddle-duck, who was annoyed because the farmer's wife would not let her hatch her own eggs. ",let,1,1,1,3
"--Listen to the story of Jemima Puddle-duck, who was annoyed because the farmer's wife would not let her hatch her own eggs. ",let,AFTER,"--Listen to the story of Jemima Puddle-duck, who was annoyed because the farmer's wife would not let her hatch her own eggs. ",hatch,1,1,3,4
"--Listen to the story of Jemima Puddle-duck, who was annoyed because the farmer's wife would not let her hatch her own eggs. ",hatch,BEFORE,"HER sister-in-law, Mrs. Rebeccah Puddle-duck, was perfectly willing to leave the hatching to some one else--""I have not the patience to sit on a nest for twenty-eight days; ",leave,1,2,4,1
"HER sister-in-law, Mrs. Rebeccah Puddle-duck, was perfectly willing to leave the hatching to some one else--""I have not the patience to sit on a nest for twenty-eight days; ",leave,BEFORE,You would let them go cold; ,let,2,4,1,1
You would let them go cold; ,let,BEFORE," you know you would!"" ",know,4,5,1,0
" you know you would!"" ",know,AFTER,"""I wish to hatch my own eggs; ",wish,5,6,0,0
"""I wish to hatch my own eggs; ",wish,BEFORE,"""I wish to hatch my own eggs; ",hatch,6,6,0,1
"""I wish to hatch my own eggs; ",hatch,BEFORE," I will hatch them all by myself,"" quacked Jemima Puddle-duck. ",hatch,6,7,1,1
" I will hatch them all by myself,"" quacked Jemima Puddle-duck. ",hatch,AFTER," I will hatch them all by myself,"" quacked Jemima Puddle-duck. ",quacked,7,7,1,2
" I will hatch them all by myself,"" quacked Jemima Puddle-duck. ",quacked,BEFORE,SHE tried to hide her eggs; ,tried,7,8,2,0
SHE tried to hide her eggs; ,tried,AFTER,SHE tried to hide her eggs; ,hide,8,8,0,1
SHE tried to hide her eggs; ,hide,BEFORE,Jemima Puddle-duck became quite desperate. ,became,8,10,1,0
Jemima Puddle-duck became quite desperate. ,became,BEFORE,She determined to make a nest right away from the farm. ,determined,10,11,0,0
She determined to make a nest right away from the farm. ,determined,BEFORE,She determined to make a nest right away from the farm. ,make,11,11,0,1
She determined to make a nest right away from the farm. ,make,AFTER,She was wearing a shawl and a poke bonnet. ,wearing,11,13,1,1
She was wearing a shawl and a poke bonnet. ,wearing,BEFORE,"WHEN she reached the top of the hill, she saw a wood in the distance. ",reached,13,14,1,0
