sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
2,0,said,17,21,217,221,30,1.0,14.0,201.0,214.0,38.0,49.0,238.0,249.0,verb.communication,True,1,subject,old Mrs. Rabbit's dears,1,2,3,unknown,0.0,tertiary
2,0,said,17,21,217,221,4,1.0,14.0,201.0,214.0,38.0,49.0,238.0,249.0,verb.communication,True,1,subject,old Mrs. Rabbit,2,4,6,female,1.0,tertiary
7,0,took,21,25,495,499,4,0.0,20.0,474.0,494.0,53.0,67.0,527.0,541.0,verb.motion,True,0,subject,old Mrs. Rabbit,2,4,6,female,1.0,tertiary
8,0,bought,4,10,547,553,4,0.0,3.0,543.0,546.0,,,,,verb.possession,True,2,subject,old Mrs. Rabbit,2,4,6,female,1.0,tertiary
9,1,went,61,65,660,664,1,0.0,59.0,599.0,658.0,,,,,verb.motion,True,3,subject,Flopsy,3,0,3,unknown,0.0,tertiary
9,1,went,61,65,660,664,14,0.0,59.0,599.0,658.0,,,,,verb.motion,True,3,subject,good little bunnies,1,0,1,unknown,0.0,tertiary
9,1,went,61,65,660,664,2,0.0,59.0,599.0,658.0,,,,,verb.motion,True,3,subject,Mopsy,3,0,3,unknown,0.0,tertiary
9,1,went,61,65,660,664,7,0.0,59.0,599.0,658.0,,,,,verb.motion,True,3,subject,Cottontail,1,0,1,unknown,0.0,tertiary
10,2,squeezed,81,89,783,791,3,1.0,32.0,703.0,734.0,,,,,verb.motion,True,4,subject,PETER,23,50,73,male,1.0,primary
11,0,ate,9,12,817,820,3,6.0,8.0,814.0,816.0,,,,,verb.consumption,True,5,subject,PETER,23,50,73,male,1.0,primary
12,0,ate,13,16,870,873,3,10.0,12.0,867.0,869.0,,,,,verb.consumption,True,6,subject,PETER,23,50,73,male,1.0,primary
