clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Mr. McGregor/SO Mr. McGregor/MR . McGREGOR,4,15,18,33,Mr. McGregor,male,1.0,primary
"Flopsy/Flopsy Bunnies/THE Flopsy Bunnies/the "" Flopsy Bunnies/the Flopsy Bunnies/THE little Flopsy Bunnies/The Flopsy Bunnies",1,12,14,26,Flopsy,group/nonbinary,1.0,primary
Benjamin Bunny/Benjamin,2,8,7,15,Benjamin Bunny,male,1.0,secondary
MRS . McGREGOR/Mrs. McGregor,8,4,11,15,MRS . McGREGOR,female,1.0,secondary
THE little rabbits,30,2,11,13,THE little rabbits,group/nonbinary,1.0,secondary
Mrs. Flopsy Bunny/The youngest Flopsy Bunny/Flopsy/the youngest Flopsy Bunny,6,5,2,7,Mrs. Flopsy Bunny,female,1.0,tertiary
Peter Rabbit,3,3,0,3,Peter Rabbit,unknown,0.0,tertiary
Thomasina Tittlemouse,5,2,1,3,Thomasina Tittlemouse,unknown,0.0,tertiary
The mouse,28,2,1,3,The mouse,female,1.0,tertiary
Mrs. Tittlemouse,7,1,1,2,Mrs. Tittlemouse,unknown,0.0,tertiary
THE little rabbits--their mother,31,2,0,2,THE little rabbits's mother,female,1.0,tertiary
a rabbit,10,1,0,1,a rabbit,unknown,0.0,tertiary
everybody,35,1,0,1,everybody,unknown,0.0,tertiary
Mr. McGregor/SO Mr. McGregor/MR . McGREGOR--you silly old man,44,1,0,1,Mr. McGregor's silly old man,male,1.0,tertiary
THE little rabbits--Their parents,39,1,0,1,THE little rabbits's parents,unknown,0.0,tertiary
a resourceful person,37,1,0,1,a resourceful person,unknown,0.0,tertiary
a woodmouse with a long tail,27,1,0,1,a woodmouse with a long tail,unknown,0.0,tertiary
Benjamin Bunny/Benjamin--his children,22,1,0,1,Benjamin Bunny's children,unknown,0.0,tertiary
Flopsy 's brother,16,1,0,1,Flopsy 's brother,male,1.0,tertiary
their children,15,1,0,1,their children,unknown,0.0,tertiary
a large family,14,1,0,1,a large family,unknown,0.0,tertiary
Benjamin Bunny/Benjamin--his Cousin Flopsy,12,1,0,1,Benjamin Bunny's Cousin Flopsy,unknown,0.0,tertiary
"Mr. McGregor--""I",9,1,0,1,"Mr. McGregor--""I",unknown,0.0,tertiary
