sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,1,called,67,73,67,73,,27.0,65.0,27.0,65.0,0,74.0,87.0,74.0,87.0,,,,,verb.communication,1,True
1,0,had,3,6,92,95,0,0.0,2.0,89.0,91.0,,7.0,60.0,96.0,149.0,,,,,verb.possession,1,True
2,0,had,8,11,158,161,0,5.0,7.0,155.0,157.0,"1,6",12.0,47.0,162.0,197.0,,,,,verb.possession,1,True
3,1,enjoying,23,31,222,230,0,0.0,13.0,199.0,212.0,,32.0,42.0,231.0,241.0,,,,,verb.emotion,1,True
4,0,whisked,4,11,246,253,0,1.0,3.0,243.0,245.0,"37,0",12.0,53.0,254.0,295.0,,,,,verb.motion,1,True
6,1,pushing,23,30,386,393,1,0.0,13.0,363.0,376.0,,31.0,35.0,394.0,398.0,,,,,verb.motion,1,True
7,4,replied,86,93,563,570,,1.0,38.0,478.0,515.0,0,94.0,109.0,571.0,586.0,,,,,verb.communication,1,True
8,0,came,29,33,617,621,"1,0",0.0,28.0,588.0,616.0,,34.0,52.0,622.0,640.0,,,,,verb.motion,1,True
9,1,hung,30,34,719,723,0,0.0,5.0,689.0,694.0,,35.0,37.0,724.0,726.0,38.0,47.0,727.0,736.0,verb.contact,1,True
13,1,began,34,39,1000,1005,,29.0,33.0,995.0,999.0,10,40.0,120.0,1006.0,1086.0,,,,,verb.change,1,True
15,1,get,20,23,1150,1153,0,11.0,14.0,1141.0,1144.0,,24.0,28.0,1154.0,1158.0,33.0,38.0,1163.0,1168.0,verb.possession,1,True
17,0,said,0,4,1195,1199,,,,,,1,5.0,10.0,1200.0,1205.0,,,,,verb.communication,1,True
18,2,said,55,59,1262,1266,"38,0",1.0,52.0,1208.0,1259.0,0,60.0,73.0,1267.0,1280.0,75.0,96.0,1282.0,1303.0,verb.communication,1,True
21,1,called,44,50,1515,1521,13,0.0,39.0,1471.0,1510.0,,51.0,61.0,1522.0,1532.0,,,,,verb.communication,1,True
22,1,dig,12,15,1546,1549,13,0.0,2.0,1534.0,1536.0,,,,,,,,,,verb.contact,1,True
23,0,dug,12,15,1590,1593,13,9.0,11.0,1587.0,1589.0,,,,,,,,,,verb.contact,1,True
29,1,digging,11,18,2002,2009,,,,,,17,22.0,29.0,2013.0,2020.0,,,,,verb.contact,1,True
32,1,listened,27,35,2137,2145,16,0.0,13.0,2110.0,2123.0,,,,,,,,,,verb.perception,1,True
33,0,flew,22,26,2169,2173,17,0.0,21.0,2147.0,2168.0,,,,,,,,,,verb.motion,1,True
35,1,replying,44,52,2372,2380,0,0.0,13.0,2328.0,2341.0,,,,,,,,,,verb.communication,1,True
36,1,expect,33,39,2414,2420,18,9.0,24.0,2390.0,2405.0,,40.0,49.0,2421.0,2430.0,,,,,verb.cognition,1,True
38,2,cuffed,81,87,2580,2586,19,46.0,50.0,2545.0,2549.0,0,102.0,105.0,2601.0,2604.0,,,,,verb.contact,1,True
40,2,fled,53,57,2769,2773,0,0.0,5.0,2716.0,2721.0,0,58.0,74.0,2774.0,2790.0,76.0,149.0,2792.0,2865.0,verb.motion,1,True
41,3,pushed,103,109,2971,2977,19,98.0,102.0,2966.0,2970.0,0,110.0,113.0,2978.0,2981.0,,,,,verb.contact,1,True
43,0,squeezed,5,13,3046,3054,19,0.0,4.0,3041.0,3045.0,0,14.0,17.0,3055.0,3058.0,,,,,verb.contact,1,True
44,4,shouted,77,84,3193,3200,2,74.0,76.0,3190.0,3192.0,2,102.0,131.0,3218.0,3247.0,,,,,verb.communication,1,True
45,0,made,14,18,3264,3268,0,0.0,13.0,3250.0,3263.0,,19.0,27.0,3269.0,3277.0,,,,,verb.creation,1,True
49,0,made,4,8,3451,3455,1,0.0,3.0,3447.0,3450.0,0,9.0,21.0,3456.0,3468.0,,,,,verb.change,1,True
50,1,come,15,19,3494,3498,0,5.0,7.0,3484.0,3486.0,,,,,,,,,,verb.motion,1,True
51,0,passed,14,20,3530,3536,1,0.0,13.0,3516.0,3529.0,,21.0,47.0,3537.0,3563.0,,,,,verb.motion,1,True
53,0,drove,32,37,3662,3667,,5.0,31.0,3635.0,3661.0,1,38.0,41.0,3668.0,3671.0,42.0,46.0,3672.0,3676.0,verb.motion,1,True
54,0,wandered,4,12,3682,3690,1,0.0,3.0,3678.0,3681.0,,,,,,,,,,verb.motion,1,True
57,0,came,30,34,3810,3814,0,16.0,29.0,3796.0,3809.0,0,35.0,48.0,3815.0,3828.0,,,,,verb.motion,1,True
58,0,found,3,8,3833,3838,0,0.0,2.0,3830.0,3832.0,0,9.0,84.0,3839.0,3914.0,,,,,verb.perception,1,True
60,0,groaned,18,25,3964,3971,0,0.0,5.0,3946.0,3951.0,,,,,,,,,,verb.body,1,True
61,3,hoped,88,93,4090,4095,,30.0,54.0,4032.0,4056.0,0,94.0,108.0,4096.0,4110.0,,,,,verb.emotion,1,True
63,0,lent,4,8,4150,4154,,1.0,3.0,4147.0,4149.0,"24,0",9.0,12.0,4155.0,4158.0,,,,,verb.possession,1,True
65,0,explained,13,22,4224,4233,3,0.0,12.0,4211.0,4223.0,3,23.0,106.0,4234.0,4317.0,,,,,verb.communication,1,True
66,1,chuckled,15,23,4335,4343,3,0.0,2.0,4320.0,4322.0,,,,,,,,,,verb.body,1,True
67,1,confined,16,24,4389,4397,0,6.0,11.0,4379.0,4384.0,,25.0,31.0,4398.0,4404.0,,,,,verb.social,1,True
70,2,said,29,33,4596,4600,"0,3",1.0,26.0,4568.0,4593.0,3,34.0,46.0,4601.0,4613.0,,,,,verb.communication,1,True
71,0,grew,14,18,4629,4633,0,0.0,13.0,4615.0,4628.0,,19.0,36.0,4634.0,4651.0,,,,,verb.change,1,True
73,3,doubted,81,88,4786,4793,1,66.0,69.0,4771.0,4774.0,,89.0,120.0,4794.0,4825.0,,,,,verb.cognition,1,True
74,0,hid,4,7,4831,4834,1,0.0,3.0,4827.0,4830.0,,8.0,12.0,4835.0,4839.0,13.0,30.0,4840.0,4857.0,verb.possession,1,True
76,0,emptied,16,23,4906,4913,1,10.0,15.0,4900.0,4905.0,,24.0,43.0,4914.0,4933.0,,,,,verb.contact,1,True
77,2,scrambled,71,80,5033,5042,3,45.0,70.0,5007.0,5032.0,,,,,,,,,,verb.motion,1,True
80,2,left,49,53,5219,5223,"46,4,3",5.0,30.0,5175.0,5200.0,3,54.0,56.0,5224.0,5226.0,,,,,verb.cognition,1,True
82,1,beg,13,16,5292,5295,1,11.0,12.0,5290.0,5291.0,1,17.0,28.0,5296.0,5307.0,,,,,verb.communication,1,True
83,3,said,46,50,5354,5358,"1,47",1.0,43.0,5309.0,5351.0,1,51.0,69.0,5359.0,5377.0,,,,,verb.communication,1,True
86,0,know,3,7,5457,5461,4,1.0,2.0,5455.0,5456.0,4,8.0,23.0,5462.0,5477.0,,,,,verb.cognition,1,True
87,1,said,25,29,5503,5507,4,1.0,22.0,5479.0,5500.0,4,30.0,48.0,5508.0,5526.0,,,,,verb.communication,1,True
88,0,led,4,7,5532,5535,4,0.0,3.0,5528.0,5531.0,,8.0,15.0,5536.0,5543.0,,,,,verb.motion,1,True
89,2,singing,102,109,5703,5710,28,50.0,96.0,5651.0,5697.0,,110.0,120.0,5711.0,5721.0,122.0,139.0,5723.0,5740.0,verb.communication,1,True
90,2,get,39,42,5834,5837,,,,,,"50,51",43.0,71.0,5838.0,5866.0,,,,,verb.change,1,True
