sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
2,0,had,verb.possession,0,1
2,0,had,verb.possession,0,6
4,0,whisked,verb.motion,0,37
4,0,whisked,verb.motion,0,0
18,2,said,verb.communication,38,0
18,2,said,verb.communication,0,0
23,1,found,verb.possession,13,13
38,2,cuffed,verb.contact,19,0
38,3,scratched,verb.contact,19,0
38,4,upset,verb.emotion,19,0
40,2,fled,verb.motion,0,0
40,3,followed,verb.motion,0,19
41,0,caught,verb.contact,19,0
41,1,dragged,verb.contact,19,0
41,3,pushed,verb.contact,19,0
43,0,squeezed,verb.contact,19,0
43,3,break,verb.change,19,0
44,1,leave,verb.cognition,19,0
44,3,said,verb.communication,19,2
44,3,said,verb.communication,0,2
44,4,shouted,verb.communication,2,2
49,0,made,verb.change,1,0
57,0,came,verb.motion,0,0
58,0,found,verb.perception,0,0
60,1,hurted,verb.body,0,0
65,0,explained,verb.communication,3,3
66,2,heard,verb.perception,3,0
67,6,thin,verb.change,3,3
70,2,said,verb.communication,0,3
70,2,said,verb.communication,3,3
80,2,left,verb.cognition,46,3
80,2,left,verb.cognition,4,3
80,2,left,verb.cognition,3,3
82,1,beg,verb.communication,1,1
83,3,said,verb.communication,1,1
83,3,said,verb.communication,47,1
86,0,know,verb.cognition,4,4
87,1,said,verb.communication,4,4
91,2,said,verb.communication,50,1
98,0,replied,verb.communication,0,1
100,1,kissed,verb.contact,0,1
112,1,found,verb.cognition,0,0
112,3,caught,verb.perception,0,0
