sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"I have a spout, and that makes me the queen of the tea table. ",makes,BEFORE,"I spread abroad a blessing on thirsting mankind, for in me the Chinese leaves are brewed in the boiling, tasteless water."" ",spread,12,13,1,0
"I spread abroad a blessing on thirsting mankind, for in me the Chinese leaves are brewed in the boiling, tasteless water."" ",spread,BEFORE, they jeered at the teapot and not at the awkward hand. ,jeered,13,22,0,0
 they jeered at the teapot and not at the awkward hand. ,jeered,BEFORE,"""I never shall forget that experience,"" said the teapot, when it afterward talked of its life. ",forget,22,23,0,1
"""I never shall forget that experience,"" said the teapot, when it afterward talked of its life. ",forget,BEFORE,"""I never shall forget that experience,"" said the teapot, when it afterward talked of its life. ",said,23,23,1,2
"""I never shall forget that experience,"" said the teapot, when it afterward talked of its life. ",said,BEFORE,"""I never shall forget that experience,"" said the teapot, when it afterward talked of its life. ",talked,23,23,2,3
"""I never shall forget that experience,"" said the teapot, when it afterward talked of its life. ",talked,AFTER,"""I was called an invalid, and placed in a corner, and the next day was given to a woman who begged for victuals. ",called,23,24,3,1
"""I was called an invalid, and placed in a corner, and the next day was given to a woman who begged for victuals. ",called,BEFORE,"""I was called an invalid, and placed in a corner, and the next day was given to a woman who begged for victuals. ",placed,24,24,1,2
"""I was called an invalid, and placed in a corner, and the next day was given to a woman who begged for victuals. ",placed,BEFORE,"""I was called an invalid, and placed in a corner, and the next day was given to a woman who begged for victuals. ",given,24,24,2,4
"""I was called an invalid, and placed in a corner, and the next day was given to a woman who begged for victuals. ",given,BEFORE,"I fell into poverty, and stood dumb both outside and in. ",fell,24,25,4,0
"I fell into poverty, and stood dumb both outside and in. ",fell,BEFORE,"I fell into poverty, and stood dumb both outside and in. ",stood,25,25,0,1
"I fell into poverty, and stood dumb both outside and in. ",stood,BEFORE,"But then, just as I was, began my better life. ",began,25,26,1,1
"But then, just as I was, began my better life. ",began,BEFORE,One day I heard some one say that the flower deserved a better pot. ,heard,26,43,1,0
One day I heard some one say that the flower deserved a better pot. ,heard,BEFORE,One day I heard some one say that the flower deserved a better pot. ,say,43,43,0,1
One day I heard some one say that the flower deserved a better pot. ,say,BEFORE,"I was thrown out into the yard, where I lie as an old potsherd. ",thrown,43,45,1,1
