sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,1,had,26,29,26,29,5,15.0,21.0,15.0,21.0,,,,,verb.possession,0,subject,a king,1.0,0.0,1.0,male,1.0,tertiary
2,0,came,20,24,162,166,9,6.0,19.0,148.0,161.0,,,,,verb.motion,1,subject,three princes,1.0,5.0,6.0,male,1.0,tertiary
2,1,court,28,33,170,175,9,6.0,19.0,148.0,161.0,,,,,verb.social,2,subject,three princes,1.0,5.0,6.0,male,1.0,tertiary
3,1,walking,22,29,302,309,9,8.0,12.0,288.0,292.0,,,,,verb.motion,3,subject,three princes,1.0,5.0,6.0,male,1.0,tertiary
3,3,met,90,93,370,373,9,85.0,89.0,365.0,369.0,,,,,verb.motion,4,subject,three princes,1.0,5.0,6.0,male,1.0,tertiary
4,1,give,18,22,407,411,15,0.0,8.0,389.0,397.0,,,,,verb.possession,5,subject,The king,9.0,41.0,50.0,male,1.0,primary
4,3,give,72,76,461,465,16,41.0,62.0,430.0,451.0,,,,,verb.possession,6,subject,the eldest princesses,1.0,1.0,2.0,female,1.0,tertiary
5,1,give,49,53,551,555,18,5.0,44.0,507.0,546.0,,,,,verb.possession,7,subject,the youngest daughter,1.0,1.0,2.0,female,1.0,tertiary
5,1,give,49,53,551,555,19,5.0,44.0,507.0,546.0,,,,,verb.possession,7,subject,the youngest daughter's true love,1.0,0.0,1.0,unknown,0.0,tertiary
6,0,got,10,13,641,644,9,5.0,9.0,636.0,640.0,,,,,verb.motion,8,subject,three princes,1.0,5.0,6.0,male,1.0,tertiary
6,2,find,52,56,683,687,9,38.0,42.0,669.0,673.0,,,,,verb.perception,9,subject,three princes,1.0,5.0,6.0,male,1.0,tertiary
7,2,take,28,32,769,773,24,23.0,24.0,764.0,765.0,40.0,57.0,781.0,798.0,verb.motion,11,subject,the eldest,2.0,5.0,7.0,male,1.0,tertiary
8,2,take,35,39,835,839,25,30.0,31.0,830.0,831.0,47.0,64.0,847.0,864.0,verb.possession,15,subject,the second eldest,1.0,1.0,2.0,unknown,0.0,tertiary
10,0,persuaded,15,24,985,994,27,4.0,14.0,974.0,984.0,,,,,verb.communication,13,subject,,,,,,,
10,5,ordered,151,158,1121,1128,8,43.0,53.0,1013.0,1023.0,,,,,verb.communication,16,subject,the youngest,8.0,17.0,25.0,female,0.7777777777777778,secondary
