sentence_id,event_id,temporal_rank
0,0,0
1,0,1
2,3,2
2,1,3
2,4,4
2,7,5
3,1,6
3,3,7
4,1,8
5,1,9
6,0,10
6,1,11
6,2,12
6,6,13
8,0,14
8,1,15
9,8,16
8,3,17
9,1,18
9,7,19
9,3,20
10,1,21
10,2,22
10,6,23
10,4,24
12,3,25
12,1,26
11,0,27
13,1,28
13,5,29
13,7,30
13,9,31
14,2,32
14,1,33
15,0,34
16,2,35
16,0,36
16,3,37
17,4,38
17,0,39
18,0,40
18,2,41
18,3,42
19,1,43
19,0,44
20,3,45
20,0,46
19,4,47
20,7,48
20,4,49
22,1,50
23,4,51
23,2,52
23,1,53
24,0,54
24,1,55
26,1,56
26,2,57
26,3,58
27,0,59
27,2,60
28,0,61
29,0,62
29,4,63
29,2,64
29,5,65
30,1,66
31,2,67
33,2,68
33,3,69
34,0,70
35,1,71
36,2,72
37,0,73
37,1,74
38,1,75
37,2,76
39,1,77
39,3,78
40,0,79
41,4,80
41,0,81
42,0,82
42,1,83
42,2,84
43,1,85
43,0,86
43,3,87
43,2,88
44,1,89
43,4,90
44,2,91
44,4,92
46,0,93
47,1,94
47,2,95
47,4,96
49,0,97
50,4,98
50,2,99
50,1,100
50,0,101
53,2,102
51,0,103
53,4,104
54,2,105
54,0,106
55,0,107
55,1,108
56,0,109
57,0,110
57,1,111
58,0,112
60,1,113
58,1,114
60,5,115
61,2,116
61,0,117
62,4,118
62,1,119
62,5,120
64,3,121
63,0,122
65,1,123
65,3,124
66,2,125
67,1,126
67,5,127
67,6,128
68,3,129
68,0,130
71,1,131
72,2,132
72,0,133
73,4,134
73,1,135
73,5,136
73,7,137
75,0,138
76,3,139
75,4,140
77,1,141
78,2,142
78,0,143
78,3,144
79,0,145
80,1,146
80,2,147
80,3,148
81,0,149
81,1,150
84,3,151
87,8,152
84,6,153
87,1,154
87,5,155
