sentence_id,event_id,temporal_rank
0,0,0
1,0,1
2,7,2
3,1,3
4,1,4
5,1,5
6,6,6
9,7,7
8,0,8
10,4,9
12,3,10
11,0,11
13,5,12
14,1,13
15,0,14
16,0,15
17,0,16
18,0,17
19,1,18
20,0,19
22,1,20
23,2,21
24,1,22
26,3,23
27,2,24
28,0,25
30,1,26
29,2,27
31,2,28
33,3,29
34,0,30
35,1,31
36,2,32
38,1,33
37,0,34
39,1,35
40,0,36
41,0,37
44,1,38
43,1,39
42,1,40
46,0,41
47,4,42
49,0,43
50,4,44
53,2,45
51,0,46
54,0,47
55,1,48
56,0,49
57,0,50
60,5,51
58,1,52
62,5,53
61,0,54
64,3,55
63,0,56
65,1,57
66,2,58
67,1,59
71,1,60
68,0,61
72,0,62
73,7,63
75,0,64
76,3,65
77,1,66
78,2,67
79,0,68
80,2,69
81,1,70
87,8,71
84,3,72
