coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
4,a young woman who was living all alone in the woods with nobody near her but her little dog,a young woman who was living all alone in the woods with nobody near her but her little dog,0,33,124,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,she,9,19,22,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,her,9,77,80,1
4,a young woman who was living all alone in the woods with nobody near her but her little dog,her,1,9,12,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,her,0,110,113,1
4,a young woman who was living all alone in the woods with nobody near her but her little dog,her,0,102,105,1
4,a young woman who was living all alone in the woods with nobody near her but her little dog,her,3,27,30,1
4,a young woman who was living all alone in the woods with nobody near her but her little dog,her,1,61,64,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,She,2,0,3,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,her,2,54,57,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,her,8,105,108,1
4,a young woman who was living all alone in the woods with nobody near her but her little dog,she,8,95,98,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,she,8,84,87,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,her,9,175,178,1
4,a young woman who was living all alone in the woods with nobody near her but her little dog,me,6,158,160,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,I,6,117,118,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,she,3,44,47,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,her,6,75,78,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,her,3,12,15,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,her,6,24,27,1
4,a young woman who was living all alone in the woods with nobody near her but her little dog,she,6,14,17,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,she,2,112,115,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,She,5,0,3,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,she,1,23,26,0
4,a young woman who was living all alone in the woods with nobody near her but her little dog,she,9,101,104,0
6,a handsome young man,he,3,17,19,0
6,a handsome young man,a handsome young man,2,120,140,0
6,a handsome young man,him,3,61,64,0
6,a handsome young man,he,4,30,32,0
6,a handsome young man,he,5,35,37,0
