sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label
1,3,raise,57,62,121,126,16,42.0,49.0,106.0,113.0,,63.0,83.0,127.0,147.0,84.0,109.0,148.0,173.0,verb.change,1
5,1,come,19,23,455,459,18,0.0,4.0,436.0,440.0,,24.0,44.0,460.0,480.0,45.0,112.0,481.0,548.0,verb.motion,1
6,3,swam,65,69,615,619,4,0.0,15.0,550.0,565.0,,70.0,75.0,620.0,625.0,76.0,88.0,626.0,638.0,verb.motion,1
6,4,called,90,96,640,646,4,0.0,88.0,550.0,638.0,18,97.0,101.0,647.0,651.0,,,,,verb.communication,1
7,0,seemed,19,25,686,692,,,,,,22,26.0,60.0,693.0,727.0,62.0,149.0,,,verb.perception,1
7,1,stay,40,44,707,711,22,4.0,18.0,671.0,685.0,22,51.0,60.0,718.0,727.0,,,,,verb.change,1
7,3,found,71,76,738,743,22,66.0,70.0,733.0,737.0,,77.0,101.0,744.0,768.0,103.0,117.0,770.0,784.0,verb.perception,1
7,5,called,128,134,795,801,22,123.0,127.0,790.0,794.0,,135.0,149.0,802.0,816.0,,,,,verb.communication,1
9,5,got,110,113,971,974,5,106.0,109.0,967.0,970.0,,114.0,120.0,975.0,981.0,121.0,132.0,982.0,993.0,verb.perception,1
10,0,scrambled,16,25,1011,1020,5,12.0,15.0,1007.0,1010.0,,26.0,43.0,1021.0,1038.0,,,,,verb.motion,1
11,0,fell,8,12,1048,1052,5,4.0,7.0,1044.0,1047.0,,13.0,27.0,1053.0,1067.0,28.0,48.0,1068.0,1088.0,verb.motion,1
12,0,had,14,17,1163,1166,5,0.0,3.0,1149.0,1152.0,,18.0,21.0,1167.0,1170.0,,,,,verb.possession,1
12,1,tell,30,34,1179,1183,5,0.0,3.0,1149.0,1152.0,,35.0,48.0,1184.0,1197.0,49.0,57.0,1198.0,1206.0,verb.communication,1
12,2,knew,67,71,1216,1220,5,63.0,66.0,1212.0,1215.0,,72.0,76.0,1221.0,1225.0,,,,,verb.cognition,1
12,3,knew,96,100,1245,1249,26,82.0,95.0,1231.0,1244.0,,101.0,103.0,1250.0,1252.0,,,,,verb.cognition,1
13,2,told,27,31,1318,1322,6,0.0,15.0,1291.0,1306.0,,32.0,36.0,1323.0,1327.0,47.0,64.0,1338.0,1355.0,verb.communication,1
13,4,chosen,58,64,1349,1355,5,50.0,53.0,1341.0,1344.0,,,,,,,,,,verb.cognition,1
13,5,answered,80,88,1371,1379,5,70.0,73.0,1361.0,1364.0,,,,,,,,,,verb.communication,1
13,6,asked,99,104,1390,1395,26,94.0,98.0,1385.0,1389.0,5,105.0,108.0,1396.0,1399.0,,,,,verb.communication,1
14,1,said,33,37,1472,1476,6,1.0,30.0,1440.0,1469.0,4,38.0,59.0,1477.0,1498.0,,,,,verb.communication,1
16,2,retorted,15,23,1566,1574,,1.0,12.0,1552.0,1563.0,29,24.0,39.0,1575.0,1590.0,,,,,verb.communication,1
16,3,has,58,61,1609,1612,30,46.0,57.0,1597.0,1608.0,,62.0,69.0,1613.0,1620.0,70.0,81.0,1621.0,1632.0,verb.possession,1
16,4,have,93,97,1644,1648,29,91.0,92.0,1642.0,1643.0,,98.0,107.0,1649.0,1658.0,,,,,verb.possession,1
17,0,listened,16,24,1677,1685,30,0.0,15.0,1661.0,1676.0,,,,,,,,,,verb.perception,1
17,1,stared,29,35,1690,1696,30,0.0,15.0,1661.0,1676.0,,,,,,,,,,verb.perception,1
18,1,please,23,29,1721,1727,,3.0,14.0,1701.0,1712.0,30,30.0,34.0,1728.0,1732.0,,,,,verb.emotion,1
18,2,made,41,45,1739,1743,30,36.0,40.0,1734.0,1738.0,,46.0,54.0,1744.0,1752.0,,,,,verb.creation,1
19,0,kicked,21,27,1806,1812,7,4.0,20.0,1789.0,1805.0,7,31.0,46.0,1816.0,1831.0,47.0,62.0,1832.0,1847.0,verb.motion,1
20,0,sat,10,13,1913,1916,30,5.0,9.0,1908.0,1912.0,,,,,,,,,,verb.contact,1
20,1,held,18,22,1921,1925,30,5.0,9.0,1908.0,1912.0,30,23.0,34.0,1926.0,1937.0,35.0,46.0,1938.0,1949.0,verb.contact,1
21,0,asked,19,24,1970,1975,26,14.0,18.0,1965.0,1969.0,26,25.0,103.0,1976.0,2054.0,,,,,verb.communication,1
21,2,made,42,46,1993,1997,,,,,,26,47.0,60.0,1998.0,2011.0,,,,,verb.change,1
22,2,describe,61,69,2117,2125,29,52.0,53.0,2108.0,2109.0,,70.0,72.0,2126.0,2128.0,,,,,verb.communication,1
22,3,said,75,79,2131,2135,29,1.0,72.0,2057.0,2128.0,29,80.0,95.0,2136.0,2151.0,,,,,verb.communication,1
23,2,makes,73,78,2226,2231,,68.0,72.0,2221.0,2225.0,114,79.0,97.0,2232.0,2250.0,,,,,verb.change,1
24,1,ask,10,13,2262,2265,,,,,,29,14.0,16.0,2266.0,2268.0,32.0,55.0,,,verb.communication,1
24,3,answer,45,51,2297,2303,29,36.0,41.0,2288.0,2293.0,29,52.0,55.0,2304.0,2307.0,,,,,verb.communication,1
25,1,got,17,20,2327,2330,34,7.0,8.0,2317.0,2318.0,,21.0,30.0,2331.0,2340.0,,,,,verb.possession,1
25,2,said,33,37,2343,2347,34,1.0,30.0,2311.0,2340.0,"7,34",38.0,63.0,2348.0,2373.0,,,,,verb.communication,1
27,1,have,14,18,2423,2427,29,12.0,13.0,2421.0,2422.0,,19.0,40.0,2428.0,2449.0,,,,,verb.possession,1
28,0,makes,10,15,2461,2466,,7.0,9.0,2458.0,2460.0,115,16.0,28.0,2467.0,2479.0,,,,,verb.change,1
28,2,give,39,43,2490,2494,,30.0,32.0,2481.0,2483.0,29,44.0,46.0,2495.0,2497.0,,,,,verb.possession,1
29,0,wish,11,15,2523,2527,29,4.0,5.0,2516.0,2517.0,29,16.0,65.0,2528.0,2577.0,,,,,verb.cognition,1
31,1,stay,14,18,2625,2629,6,1.0,4.0,2612.0,2615.0,,,,,,,,,,verb.motion,1
31,3,said,35,39,2646,2650,6,1.0,32.0,2612.0,2643.0,20,40.0,59.0,2651.0,2670.0,,,,,verb.communication,1
