sentence_id,event_id,temporal_rank
6,3,0
5,1,1
1,3,2
7,1,3
9,5,4
11,0,5
10,0,6
12,2,7
13,6,8
16,3,9
14,1,10
17,0,11
18,1,12
19,0,13
20,0,14
21,0,15
23,2,16
22,3,17
24,1,18
27,1,19
25,2,20
28,0,21
31,4,22
29,0,23
33,0,24
32,2,25
40,6,26
39,0,27
38,0,28
36,0,29
41,0,30
44,2,31
43,2,32
45,0,33
46,1,34
48,2,35
50,1,36
52,0,37
53,0,38
55,0,39
54,3,40
56,3,41
60,0,42
57,2,43
64,0,44
69,1,45
70,0,46
72,1,47
83,0,48
84,2,49
89,1,50
94,0,51
93,2,52
95,0,53
96,0,54
99,0,55
98,1,56
106,0,57
105,3,58
100,7,59
107,1,60
110,0,61
109,0,62
113,3,63
116,1,64
115,1,65
118,1,66
119,0,67
123,2,68
122,1,69
125,0,70
127,1,71
126,0,72
128,1,73
129,0,74
130,2,75
132,0,76
131,2,77
135,1,78
137,0,79
136,1,80
139,1,81
138,1,82
143,2,83
142,1,84
144,1,85
145,0,86
146,0,87
148,2,88
149,0,89
152,1,90
155,0,91
153,0,92
160,0,93
159,0,94
161,0,95
163,0,96
167,3,97
164,1,98
168,0,99
170,0,100
172,0,101
174,1,102
175,1,103
176,1,104
179,2,105
185,1,106
182,1,107
181,0,108
186,3,109
187,1,110
192,1,111
189,1,112
188,2,113
196,1,114
195,2,115
194,0,116
197,0,117
200,1,118
202,1,119
203,0,120
204,0,121
205,0,122
211,0,123
208,1,124
212,1,125
213,0,126
214,1,127
215,0,128
217,0,129
218,1,130
222,1,131
221,0,132
220,2,133
219,1,134
226,1,135
225,0,136
227,0,137
228,3,138
232,1,139
231,2,140
229,1,141
237,0,142
238,0,143
243,0,144
239,1,145
252,4,146
246,1,147
