sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
1,4,walked,124.0,130.0,165.0,171.0,10,114.0,123.0,155.0,164.0,137.0,157.0,178.0,198.0,verb.motion,0,subject,the stork,1.0,3.0,4.0,male,1.0,tertiary
1,5,talked,162.0,168.0,203.0,209.0,10,114.0,123.0,155.0,164.0,,,,,verb.communication,2,subject,the stork,1.0,3.0,4.0,male,1.0,tertiary
2,1,learnt,7.0,13.0,227.0,233.0,10,0.0,2.0,220.0,222.0,,,,,verb.cognition,1,subject,the stork,1.0,3.0,4.0,male,1.0,tertiary
4,4,stand,188.0,193.0,576.0,581.0,20,167.0,181.0,555.0,569.0,202.0,227.0,590.0,615.0,verb.contact,3,subject,a little child,1.0,0.0,1.0,unknown,0.0,tertiary
6,1,sitting,22.0,29.0,694.0,701.0,22,11.0,17.0,683.0,689.0,,,,,verb.contact,5,subject,a Duck,1.0,7.0,8.0,female,1.0,tertiary
7,2,hatch,15.0,20.0,730.0,735.0,22,0.0,3.0,715.0,718.0,,,,,verb.body,4,subject,a Duck,1.0,7.0,8.0,female,1.0,tertiary
7,5,had,129.0,132.0,844.0,847.0,22,125.0,128.0,840.0,843.0,,,,,verb.possession,6,subject,a Duck,1.0,7.0,8.0,female,1.0,tertiary
8,2,sitting,67.0,74.0,933.0,940.0,25,0.0,25.0,866.0,891.0,93.0,109.0,959.0,975.0,verb.contact,7,subject,The other Ducks,1.0,0.0,1.0,unknown,0.0,tertiary
14,0,let,18.0,21.0,1249.0,1252.0,27,5.0,17.0,1236.0,1248.0,,,,,verb.social,10,subject,their mother,2.0,6.0,8.0,female,1.0,tertiary
16,1,suppose,8.0,15.0,1466.0,1473.0,28,4.0,7.0,1462.0,1465.0,,,,,verb.cognition,11,subject,the young ones,2.0,10.0,12.0,group/nonbinary,1.0,tertiary
19,1,suppose,20.0,27.0,1659.0,1666.0,27,18.0,19.0,1657.0,1658.0,,,,,verb.cognition,13,subject,their mother,2.0,6.0,8.0,female,1.0,tertiary
30,2,seen,42.0,46.0,2058.0,2062.0,31,9.0,31.0,2025.0,2047.0,,,,,verb.perception,16,subject,the sitting Duck,1.0,2.0,3.0,unknown,0.0,tertiary
31,1,comes,59.0,64.0,2122.0,2127.0,154,23.0,47.0,2086.0,2110.0,,,,,verb.motion,18,subject,their wretch of a father,1.0,0.0,1.0,male,1.0,tertiary
31,1,comes,59.0,64.0,2122.0,2127.0,155,23.0,47.0,2086.0,2110.0,,,,,verb.motion,18,subject,a father,1.0,0.0,1.0,male,1.0,tertiary
31,1,comes,59.0,64.0,2122.0,2127.0,152,23.0,47.0,2086.0,2110.0,,,,,verb.motion,18,subject,,,,,,,
32,1,look,8.0,12.0,2148.0,2152.0,32,5.0,7.0,2145.0,2147.0,,,,,verb.perception,21,subject,the old Duck,2.0,16.0,18.0,female,1.0,tertiary
32,4,said,43.0,47.0,2183.0,2187.0,32,0.0,40.0,2140.0,2180.0,,,,,verb.communication,23,subject,the old Duck,2.0,16.0,18.0,female,1.0,tertiary
34,2,had,42.0,45.0,2284.0,2287.0,32,40.0,41.0,2282.0,2283.0,78.0,97.0,2320.0,2339.0,verb.perception,24,subject,the old Duck,2.0,16.0,18.0,female,1.0,tertiary
34,4,tell,105.0,109.0,2347.0,2351.0,32,99.0,100.0,2341.0,2342.0,,,,,verb.communication,27,subject,the old Duck,2.0,16.0,18.0,female,1.0,tertiary
35,1,get,11.0,14.0,2402.0,2405.0,32,0.0,1.0,2391.0,2392.0,,,,,verb.communication,26,subject,the old Duck,2.0,16.0,18.0,female,1.0,tertiary
36,0,quacked,2.0,9.0,2423.0,2430.0,32,0.0,1.0,2421.0,2422.0,,,,,verb.contact,25,subject,the old Duck,2.0,16.0,18.0,female,1.0,tertiary
36,1,pecked,16.0,22.0,2437.0,2443.0,32,0.0,15.0,2421.0,2436.0,,,,,verb.contact,28,subject,the old Duck,2.0,16.0,18.0,female,1.0,tertiary
37,1,see,7.0,10.0,2472.0,2475.0,32,4.0,6.0,2469.0,2471.0,,,,,verb.perception,31,subject,the old Duck,2.0,16.0,18.0,female,1.0,tertiary
39,0,let,10.0,13.0,2526.0,2529.0,28,1.0,4.0,2517.0,2520.0,,,,,verb.social,30,subject,the young ones,2.0,10.0,12.0,group/nonbinary,1.0,tertiary
39,2,teach,25.0,30.0,2541.0,2546.0,28,1.0,4.0,2517.0,2520.0,,,,,verb.communication,33,subject,the young ones,2.0,10.0,12.0,group/nonbinary,1.0,tertiary
40,1,sit,15.0,18.0,2581.0,2584.0,33,5.0,6.0,2571.0,2572.0,25.0,37.0,2591.0,2603.0,verb.contact,32,subject,the Duck,1.0,3.0,4.0,unknown,0.0,tertiary
40,2,said,40.0,44.0,2606.0,2610.0,33,1.0,37.0,2567.0,2603.0,,,,,verb.communication,35,subject,the Duck,1.0,3.0,4.0,unknown,0.0,tertiary
41,1,sat,9.0,12.0,2630.0,2633.0,33,4.0,5.0,2625.0,2626.0,,,,,verb.contact,34,subject,the Duck,1.0,3.0,4.0,unknown,0.0,tertiary
41,3,give,36.0,40.0,2657.0,2661.0,33,22.0,23.0,2643.0,2644.0,,,,,verb.possession,36,subject,the Duck,1.0,3.0,4.0,unknown,0.0,tertiary
42,0,please,17.0,23.0,2699.0,2705.0,2,13.0,16.0,2695.0,2698.0,,,,,verb.emotion,37,subject,the old Duck,2.0,12.0,14.0,female,1.0,tertiary
46,1,scrambling,20.0,30.0,2803.0,2813.0,34,5.0,18.0,2788.0,2801.0,,,,,verb.motion,39,subject,the young one,1.0,10.0,11.0,male,1.0,tertiary
48,0,looked,9.0,15.0,2854.0,2860.0,2,0.0,8.0,2845.0,2853.0,,,,,verb.perception,41,subject,the old Duck,2.0,12.0,14.0,female,1.0,tertiary
48,3,said,72.0,76.0,2917.0,2921.0,2,25.0,65.0,2870.0,2910.0,,,,,verb.communication,43,subject,the old Duck,2.0,12.0,14.0,female,1.0,tertiary
48,3,said,72.0,76.0,2917.0,2921.0,159,25.0,65.0,2870.0,2910.0,,,,,verb.communication,43,subject,a fearfully big Duckling,1.0,0.0,1.0,unknown,0.0,tertiary
49,0,look,20.0,24.0,2943.0,2947.0,160,0.0,19.0,2923.0,2942.0,,,,,verb.perception,42,subject,None of the others,1.0,0.0,1.0,unknown,0.0,tertiary
49,0,look,20.0,24.0,2943.0,2947.0,152,0.0,19.0,2923.0,2942.0,,,,,verb.perception,42,subject,,,,,,,
50,0,suppose,2.0,9.0,2961.0,2968.0,2,0.0,1.0,2959.0,2960.0,,,,,verb.cognition,44,subject,the old Duck,2.0,12.0,14.0,female,1.0,tertiary
52,1,go,25.0,27.0,3043.0,3045.0,34,1.0,15.0,3019.0,3033.0,,,,,verb.motion,46,subject,the young one,1.0,10.0,11.0,male,1.0,tertiary
52,3,kick,42.0,46.0,3060.0,3064.0,2,32.0,33.0,3050.0,3051.0,51.0,61.0,3069.0,3079.0,verb.contact,45,subject,the old Duck,2.0,12.0,14.0,female,1.0,tertiary
57,0,said,4.0,8.0,3292.0,3296.0,2,0.0,3.0,3288.0,3291.0,,,,,verb.communication,48,subject,the old Duck,2.0,12.0,14.0,female,1.0,tertiary
59,3,swimming,104.0,112.0,3535.0,3543.0,41,77.0,99.0,3508.0,3530.0,,,,,verb.motion,47,subject,the ugly grey one,1.0,0.0,1.0,unknown,0.0,tertiary
60,1,said,32.0,36.0,3587.0,3591.0,2,1.0,25.0,3556.0,3580.0,,,,,verb.communication,50,subject,the old Duck,2.0,12.0,14.0,female,1.0,tertiary
61,1,uses,20.0,24.0,3613.0,3617.0,34,6.0,16.0,3599.0,3609.0,,,,,verb.consumption,49,subject,the young one,1.0,10.0,11.0,male,1.0,tertiary
65,2,take,28.0,32.0,3781.0,3785.0,2,23.0,24.0,3776.0,3777.0,37.0,40.0,3790.0,3793.0,verb.motion,52,subject,the old Duck,2.0,12.0,14.0,female,1.0,tertiary
65,3,introduce,60.0,69.0,3813.0,3822.0,2,23.0,24.0,3776.0,3777.0,,,,,verb.communication,53,subject,the old Duck,2.0,12.0,14.0,female,1.0,tertiary
65,6,tread,141.0,146.0,3894.0,3899.0,168,130.0,136.0,3883.0,3889.0,,,,,verb.motion,55,subject,,,,,,,
67,2,quarrelling,60.0,71.0,4031.0,4042.0,43,42.0,54.0,4013.0,4025.0,,,,,verb.communication,54,subject,two families,1.0,0.0,1.0,unknown,0.0,tertiary
71,4,got,73.0,76.0,4452.0,4455.0,32,67.0,70.0,4446.0,4449.0,,,,,verb.body,56,subject,the old Duck,2.0,16.0,18.0,female,1.0,tertiary
72,2,have,81.0,85.0,4562.0,4566.0,172,43.0,67.0,4524.0,4548.0,,,,,verb.possession,58,subject,any duck,1.0,0.0,1.0,unknown,0.0,tertiary
73,2,do,28.0,30.0,4595.0,4597.0,173,15.0,21.0,4582.0,4588.0,,,,,verb.social,59,subject,people,3.0,1.0,4.0,group/nonbinary,1.0,tertiary
73,5,recognized,60.0,70.0,4627.0,4637.0,32,48.0,51.0,4615.0,4618.0,,,,,verb.cognition,60,subject,the old Duck,2.0,16.0,18.0,female,1.0,tertiary
91,1,has,40.0,43.0,5356.0,5359.0,177,11.0,27.0,5327.0,5343.0,,,,,verb.possession,61,subject,mother,3.0,0.0,3.0,female,1.0,tertiary
91,2,said,46.0,50.0,5362.0,5366.0,177,1.0,43.0,5317.0,5359.0,77.0,79.0,5393.0,5395.0,verb.communication,64,subject,mother,3.0,0.0,3.0,female,1.0,tertiary
94,1,wish,9.0,13.0,5474.0,5478.0,48,1.0,2.0,5466.0,5467.0,,,,,verb.emotion,63,subject,the old Duck with the rag on her leg's old Duck with the rag on her leg,1.0,2.0,3.0,female,1.0,tertiary
94,3,alter,31.0,36.0,5496.0,5501.0,180,14.0,24.0,5479.0,5489.0,,,,,verb.change,65,subject,the mother,1.0,0.0,1.0,female,1.0,tertiary
95,3,said,34.0,38.0,5542.0,5546.0,11,1.0,31.0,5509.0,5539.0,,,,,verb.communication,66,subject,the stork's mother,4.0,1.0,5.0,female,1.0,tertiary
95,3,said,34.0,38.0,5542.0,5546.0,181,1.0,31.0,5509.0,5539.0,,,,,verb.communication,66,subject,the stork's mother's grace,1.0,0.0,1.0,unknown,0.0,tertiary
96,3,venture,113.0,120.0,5677.0,5684.0,36,111.0,112.0,5675.0,5676.0,,,,,verb.communication,67,subject,the mother Duck,2.0,6.0,8.0,female,1.0,tertiary
96,4,say,124.0,127.0,5688.0,5691.0,36,1.0,109.0,5565.0,5673.0,,,,,verb.communication,69,subject,the mother Duck,2.0,6.0,8.0,female,1.0,tertiary
97,0,believe,2.0,9.0,5695.0,5702.0,36,0.0,1.0,5693.0,5694.0,,,,,verb.cognition,68,subject,the mother Duck,2.0,6.0,8.0,female,1.0,tertiary
99,1,smoothed,31.0,39.0,5886.0,5894.0,36,4.0,7.0,5859.0,5862.0,,,,,verb.contact,70,subject,the mother Duck,2.0,6.0,8.0,female,1.0,tertiary
101,1,believe,10.0,17.0,5990.0,5997.0,36,8.0,9.0,5988.0,5989.0,,,,,verb.cognition,71,subject,the mother Duck,2.0,6.0,8.0,female,1.0,tertiary
102,1,said,36.0,40.0,6089.0,6093.0,183,1.0,33.0,6054.0,6086.0,,,,,verb.communication,72,subject,The other ducklings,1.0,0.0,1.0,unknown,0.0,tertiary
105,1,said,25.0,29.0,6420.0,6424.0,59,1.0,13.0,6396.0,6408.0,,,,,verb.communication,77,subject,The poor Duckling,1.0,2.0,3.0,male,1.0,tertiary
106,3,blew,104.0,108.0,6529.0,6533.0,56,5.0,102.0,6430.0,6527.0,120.0,147.0,6545.0,6572.0,verb.body,78,subject,an emperor on the strength of it,1.0,0.0,1.0,male,1.0,tertiary
106,4,went,152.0,156.0,6577.0,6581.0,56,5.0,102.0,6430.0,6527.0,166.0,225.0,6591.0,6650.0,verb.motion,79,subject,an emperor on the strength of it,1.0,0.0,1.0,male,1.0,tertiary
106,5,gobbling,183.0,191.0,6608.0,6616.0,56,5.0,102.0,6430.0,6527.0,,,,,verb.contact,80,subject,an emperor on the strength of it,1.0,0.0,1.0,male,1.0,tertiary
106,6,getting,196.0,203.0,6621.0,6628.0,56,5.0,102.0,6430.0,6527.0,,,,,verb.change,81,subject,an emperor on the strength of it,1.0,0.0,1.0,male,1.0,tertiary
107,1,know,25.0,29.0,6677.0,6681.0,59,0.0,17.0,6652.0,6669.0,,,,,verb.cognition,83,subject,The poor Duckling,1.0,2.0,3.0,male,1.0,tertiary
109,1,chased,26.0,32.0,6881.0,6887.0,4,0.0,21.0,6855.0,6876.0,,,,,verb.contact,82,subject,The unhappy Duckling,12.0,34.0,46.0,male,1.0,secondary
109,4,saying,113.0,119.0,6968.0,6974.0,11,57.0,84.0,6912.0,6939.0,,,,,verb.communication,85,subject,the stork's mother,4.0,1.0,5.0,female,1.0,tertiary
109,4,saying,113.0,119.0,6968.0,6974.0,4,57.0,84.0,6912.0,6939.0,,,,,verb.communication,85,subject,The unhappy Duckling,12.0,34.0,46.0,male,1.0,secondary
109,4,saying,113.0,119.0,6968.0,6974.0,63,57.0,84.0,6912.0,6939.0,,,,,verb.communication,85,subject,sisters,1.0,2.0,3.0,female,1.0,tertiary
109,5,wish,124.0,128.0,6979.0,6983.0,63,122.0,123.0,6977.0,6978.0,,,,,verb.emotion,86,subject,sisters,1.0,2.0,3.0,female,1.0,tertiary
110,0,said,15.0,19.0,7039.0,7043.0,11,4.0,14.0,7028.0,7038.0,,,,,verb.communication,89,subject,the stork's mother,4.0,1.0,5.0,female,1.0,tertiary
110,0,said,15.0,19.0,7039.0,7043.0,4,4.0,14.0,7028.0,7038.0,,,,,verb.communication,89,subject,The unhappy Duckling,12.0,34.0,46.0,male,1.0,secondary
110,1,wish,24.0,28.0,7048.0,7052.0,63,22.0,23.0,7046.0,7047.0,,,,,verb.emotion,88,subject,sisters,1.0,2.0,3.0,female,1.0,tertiary
110,3,get,35.0,38.0,7059.0,7062.0,4,29.0,32.0,7053.0,7056.0,,,,,verb.possession,91,subject,The unhappy Duckling,12.0,34.0,46.0,male,1.0,secondary
112,1,flew,20.0,24.0,7201.0,7205.0,4,3.0,5.0,7184.0,7186.0,,,,,verb.motion,93,subject,The unhappy Duckling,12.0,34.0,46.0,male,1.0,secondary
119,1,greeted,51.0,58.0,7681.0,7688.0,58,5.0,17.0,7635.0,7647.0,64.0,83.0,7694.0,7713.0,verb.contact,95,subject,the Duckling,9.0,83.0,92.0,male,1.0,primary
120,1,said,24.0,28.0,7739.0,7743.0,69,1.0,21.0,7716.0,7736.0,,,,,verb.communication,98,subject,their new comrade,1.0,3.0,4.0,unknown,0.0,tertiary
121,3,marry,53.0,58.0,7812.0,7817.0,69,43.0,46.0,7802.0,7805.0,,,,,verb.social,97,subject,their new comrade,1.0,3.0,4.0,unknown,0.0,tertiary
123,1,thinking,10.0,18.0,7859.0,7867.0,58,0.0,2.0,7849.0,7851.0,40.0,93.0,7889.0,7942.0,verb.cognition,96,subject,the Duckling,9.0,83.0,92.0,male,1.0,primary
