sentence_id,event_id,temporal_rank
1,4,0
2,1,1
1,5,2
4,4,3
7,2,4
6,1,5
7,5,6
8,2,7
9,1,8
13,0,9
14,0,10
16,1,11
15,1,12
19,1,13
17,0,14
26,0,15
30,2,16
27,1,17
31,1,18
31,2,19
32,0,20
32,1,21
34,1,22
32,4,23
34,2,24
36,0,25
35,1,26
34,4,27
36,1,28
37,0,29
39,0,30
37,1,31
40,1,32
39,2,33
41,1,34
40,2,35
41,3,36
42,0,37
42,1,38
46,1,39
46,0,40
48,0,41
49,0,42
48,3,43
50,0,44
52,3,45
52,1,46
59,3,47
57,0,48
61,1,49
60,1,50
63,1,51
65,2,52
65,3,53
67,2,54
65,6,55
71,4,56
71,2,57
72,2,58
73,2,59
73,5,60
91,1,61
87,2,62
94,1,63
91,2,64
94,3,65
95,3,66
96,3,67
97,0,68
96,4,69
99,1,70
101,1,71
102,1,72
103,4,73
104,8,74
104,7,75
106,2,76
105,1,77
106,3,78
106,4,79
106,5,80
106,6,81
109,1,82
107,1,83
109,3,84
109,4,85
109,5,86
109,7,87
110,1,88
110,0,89
111,0,90
110,3,91
111,1,92
112,1,93
114,2,94
119,1,95
123,1,96
121,3,97
120,1,98
123,2,99
125,0,100
128,2,101
126,1,102
143,1,103
145,2,104
144,0,105
146,0,106
145,3,107
148,1,108
148,2,109
148,6,110
150,0,111
150,5,112
151,3,113
151,0,114
151,5,115
153,0,116
153,6,117
155,0,118
154,2,119
156,1,120
158,1,121
158,0,122
159,1,123
165,2,124
165,0,125
160,1,126
165,4,127
166,1,128
167,0,129
169,1,130
172,3,131
172,1,132
170,0,133
174,0,134
174,3,135
177,1,136
174,6,137
178,0,138
177,3,139
179,2,140
182,0,141
184,2,142
184,0,143
184,4,144
184,3,145
185,0,146
186,0,147
187,2,148
187,3,149
187,6,150
188,1,151
189,1,152
188,2,153
189,4,154
190,2,155
191,1,156
191,4,157
191,2,158
192,3,159
196,0,160
195,1,161
196,2,162
196,5,163
198,0,164
198,3,165
200,1,166
199,1,167
200,2,168
201,1,169
208,1,170
206,0,171
212,0,172
212,1,173
212,2,174
213,1,175
215,8,176
214,1,177
215,1,178
215,6,179
216,8,180
216,2,181
217,2,182
216,3,183
217,3,184
217,6,185
219,2,186
217,7,187
219,7,188
220,0,189
220,1,190
220,2,191
220,3,192
220,4,193
221,0,194
220,6,195
221,3,196
221,2,197
221,4,198
221,5,199
222,0,200
223,0,201
225,1,202
225,2,203
225,3,204
225,4,205
225,5,206
225,8,207
225,10,208
227,4,209
226,2,210
228,0,211
229,0,212
231,0,213
232,0,214
233,1,215
233,6,216
233,3,217
235,2,218
235,6,219
236,1,220
236,2,221
236,4,222
237,0,223
237,1,224
237,2,225
239,0,226
238,1,227
242,3,228
242,0,229
242,5,230
243,1,231
244,0,232
244,1,233
244,2,234
246,0,235
246,1,236
246,2,237
250,0,238
249,0,239
247,2,240
250,1,241
250,2,242
252,0,243
252,5,244
252,6,245
253,2,246
253,3,247
253,4,248
