sentence_id,event_id,temporal_rank
2,1,0
1,5,1
4,4,2
7,2,3
6,1,4
8,2,5
9,1,6
13,0,7
14,0,8
16,1,9
15,1,10
19,1,11
17,0,12
26,0,13
30,2,14
27,1,15
31,1,16
32,4,17
36,0,18
35,1,19
34,4,20
39,0,21
37,0,22
41,1,23
40,2,24
42,1,25
46,1,26
49,0,27
48,3,28
50,0,29
52,3,30
59,3,31
57,0,32
61,1,33
60,1,34
63,1,35
67,2,36
65,3,37
71,4,38
72,2,39
73,5,40
87,2,41
94,1,42
91,2,43
95,3,44
97,0,45
96,4,46
99,1,47
101,1,48
102,1,49
103,4,50
104,8,51
105,1,52
106,4,53
107,1,54
109,5,55
111,1,56
110,1,57
112,1,58
114,2,59
119,1,60
123,1,61
121,3,62
120,1,63
125,0,64
128,2,65
126,1,66
143,1,67
146,0,68
145,2,69
144,0,70
148,1,71
150,0,72
151,3,73
153,6,74
155,0,75
154,2,76
156,1,77
158,1,78
159,1,79
165,2,80
160,1,81
166,1,82
167,0,83
169,1,84
172,3,85
170,0,86
174,3,87
178,0,88
177,1,89
179,2,90
184,4,91
182,0,92
185,0,93
186,0,94
187,2,95
189,1,96
188,2,97
190,2,98
191,2,99
192,3,100
196,2,101
195,1,102
198,3,103
200,1,104
199,1,105
201,1,106
208,1,107
206,0,108
212,1,109
213,1,110
214,1,111
215,6,112
217,3,113
216,8,114
219,7,115
220,0,116
221,5,117
222,0,118
223,0,119
225,10,120
227,4,121
226,2,122
228,0,123
229,0,124
231,0,125
232,0,126
235,6,127
233,3,128
236,2,129
237,2,130
239,0,131
238,1,132
242,0,133
243,1,134
244,0,135
246,1,136
249,0,137
247,2,138
250,2,139
252,6,140
253,4,141
