coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
122,Some,they,0,40,44,0
122,Some,their,0,17,22,1
122,Some,Some,0,1,5,0
123,their sweethearts,them,0,52,56,0
123,their sweethearts,their sweethearts,0,17,34,0
124,the winnock,the winnock,0,60,71,0
4,an old man,his,1,30,33,1
4,an old man,an old man,1,15,25,0
5,his wife,her,28,49,52,1
5,his wife,his wife,83,60,68,0
5,his wife,his wife,1,30,38,0
5,his wife,she,26,6,9,0
5,his wife,his wife,22,77,85,0
5,his wife,her,26,33,36,0
5,his wife,I,89,42,43,0
5,his wife,I,27,0,1,0
5,his wife,I,73,1,2,0
5,his wife,his wife,71,27,35,0
5,his wife,his wife,89,27,35,0
8,a very canty and contented couple,a very canty and contented couple,2,10,43,0
11,The old man,The old man,4,0,11,0
11,The old man,his,4,18,21,0
13,the old woman,herself,5,26,33,0
13,the old woman,the old woman,5,7,20,0
13,the old woman,her,7,26,29,1
13,the old woman,the old woman,6,31,44,0
13,the old woman,she,6,58,61,0
13,the old woman,her,6,164,167,0
13,the old woman,her,6,138,141,0
13,the old woman,she,6,124,127,0
13,the old woman,the old woman,10,9,22,0
13,the old woman,the old woman,31,156,169,0
13,the old woman,her,10,72,75,0
13,the old woman,she,6,235,238,0
13,the old woman,her,10,93,96,0
13,the old woman,her,10,134,137,0
13,the old woman,she,11,4,7,0
13,the old woman,she,11,67,70,0
13,the old woman,her,6,96,99,0
13,the old woman,her,10,106,109,0
13,the old woman,she,10,44,47,0
16,her husband,her husband,60,49,60,0
16,her husband,her husband,61,34,45,0
16,her husband,her husband,63,81,92,0
16,her husband,her husband,7,26,37,0
16,her husband,his,71,27,30,1
16,her husband,his,7,92,95,0
16,her husband,his,8,10,13,0
16,her husband,he,8,72,74,0
18,the other bannock,the other bannock,9,5,22,0
18,the other bannock,it,10,58,60,0
18,the other bannock,It,12,0,2,0
18,the other bannock,it,12,12,14,0
18,the other bannock,it,12,24,26,0
18,the other bannock,it,12,38,40,0
18,the other bannock,it,12,108,110,0
26,a tailor,he,13,58,60,0
26,a tailor,a tailor,13,44,52,0
26,a tailor,his,13,65,68,1
27,his two apprentices,his two apprentices,13,65,84,0
29,the tailor,the tailor,13,192,202,1
29,the tailor,he,21,49,51,0
29,the tailor,him,21,23,26,0
29,the tailor,his,20,181,184,0
29,the tailor,the tailor,18,55,65,0
29,the tailor,his,18,81,84,0
30,the tailor 's wife,the tailor's wife,13,192,209,0
31,the wee bannock,the wee bannock,29,38,53,0
31,the wee bannock,it,30,51,53,0
31,the wee bannock,it,76,38,40,0
31,the wee bannock,the wee bannock,75,45,60,0
31,the wee bannock,it,32,34,36,0
31,the wee bannock,the wee bannock,38,50,65,0
31,the wee bannock,you,46,37,40,0
31,the wee bannock,It,22,0,2,0
31,the wee bannock,the wee bannock,21,94,109,0
31,the wee bannock,the wee bannock,14,5,20,0
31,the wee bannock,the wee bannock,19,29,44,0
31,the wee bannock,the wee bannock,44,77,92,0
31,the wee bannock,the wee bannock,36,4,19,0
32,all three tailors,them,20,14,18,0
32,all three tailors,they,19,5,9,0
32,all three tailors,all three tailors,14,54,71,0
32,all three tailors,they,14,95,99,0
33,the Master Tailor,the Master Tailor,14,142,159,1
34,the Master Tailor 's wife,the Master Tailor's wife,14,142,166,0
34,the Master Tailor 's wife,her,18,22,25,0
