sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
1,3,look,106,110,141,145,,88.0,96.0,123.0,131.0,3,111.0,117.0,146.0,152.0,,,,,verb.perception,1,True
2,1,bake,53,57,207,211,8,8.0,21.0,162.0,175.0,,58.0,78.0,212.0,232.0,,,,,verb.consumption,1,True
3,2,fetched,58,65,292,299,8,3.0,6.0,237.0,240.0,,66.0,84.0,300.0,318.0,,,,,verb.contact,1,True
4,1,seek,17,21,337,341,8,5.0,8.0,325.0,328.0,,22.0,57.0,342.0,377.0,,,,,verb.contact,1,True
5,0,called,7,13,430,436,8,3.0,6.0,426.0,429.0,"8,10",14.0,52.0,437.0,475.0,,,,,verb.communication,1,True
6,0,came,14,18,491,495,12,5.0,13.0,482.0,490.0,,,,,,,,,,verb.motion,1,True
7,1,found,12,17,637,642,12,0.0,1.0,625.0,626.0,,18.0,82.0,643.0,707.0,,,,,verb.cognition,1,True
8,0,took,12,16,722,726,12,3.0,11.0,713.0,721.0,,17.0,24.0,727.0,734.0,,,,,verb.contact,1,True
9,5,reached,113,120,875,882,12,109.0,112.0,871.0,874.0,,121.0,123.0,883.0,885.0,,,,,verb.motion,1,True
10,0,arrived,8,15,895,902,12,4.0,7.0,891.0,894.0,,16.0,21.0,903.0,908.0,22.0,29.0,909.0,916.0,verb.motion,1,True
12,3,cry,71,74,1031,1034,12,35.0,38.0,995.0,998.0,,,,,,,,,,verb.body,1,True
13,1,know,12,16,1048,1052,12,0.0,3.0,1036.0,1039.0,,17.0,44.0,1053.0,1080.0,,,,,verb.cognition,1,True
14,1,crying,14,20,1169,1175,12,6.0,9.0,1161.0,1164.0,,,,,,,,,,verb.body,1,True
15,1,looking,30,37,1305,1312,,0.0,2.0,1275.0,1277.0,12,41.0,54.0,1316.0,1329.0,,,,,verb.perception,1,True
18,3,help,36,40,1421,1425,,24.0,25.0,1409.0,1410.0,12,41.0,44.0,1426.0,1429.0,,,,,verb.social,1,True
19,3,answered,47,55,1479,1487,12,43.0,46.0,1475.0,1478.0,"12,60",58.0,111.0,1490.0,1543.0,,,,,verb.communication,1,True
20,1,said,10,14,1556,1560,,1.0,7.0,1547.0,1553.0,2,15.0,26.0,1561.0,1572.0,27.0,33.0,1573.0,1579.0,verb.communication,1,True
21,3,promise,44,51,1625,1632,12,35.0,38.0,1616.0,1619.0,"2,61",52.0,65.0,1633.0,1646.0,,,,,verb.communication,1,True
22,0,had,15,18,1664,1667,20,4.0,14.0,1653.0,1663.0,,,,,,,,,,verb.perception,1,True
23,2,promised,71,79,1826,1834,20,67.0,70.0,1822.0,1825.0,"23,22",87.0,108.0,1842.0,1863.0,110.0,144.0,1865.0,1899.0,verb.communication,1,True
24,2,jumped,57,63,1958,1964,24,45.0,56.0,1946.0,1957.0,,,,,,,,,,verb.motion,1,True
26,1,carried,30,37,2077,2084,20,0.0,10.0,2047.0,2057.0,,38.0,40.0,2085.0,2087.0,47.0,90.0,2094.0,2137.0,verb.contact,1,True
28,0,heard,10,15,2284,2289,,5.0,9.0,2279.0,2283.0,"8,62",16.0,121.0,2290.0,2395.0,,,,,verb.perception,1,True
29,0,Remember,1,9,2397,2405,,,,,,"64,8",10.0,78.0,2406.0,2474.0,,,,,verb.cognition,1,True
30,1,raising,28,35,2505,2512,8,13.0,26.0,2490.0,2503.0,8,36.0,44.0,2513.0,2521.0,,,,,verb.motion,1,True
32,2,feeling,33,40,2590,2597,"8,30",11.0,23.0,2568.0,2580.0,,41.0,47.0,2598.0,2604.0,48.0,58.0,2605.0,2615.0,verb.emotion,1,True
33,0,said,20,24,2667,2671,66,1.0,17.0,2648.0,2664.0,31,25.0,52.0,2672.0,2699.0,,,,,verb.communication,1,True
34,1,let,19,22,2720,2723,,,,,,22,23.0,26.0,2724.0,2727.0,27.0,29.0,,,verb.social,1,True
36,0,opened,32,38,2805,2811,20,3.0,31.0,2776.0,2804.0,,39.0,47.0,2812.0,2820.0,,,,,verb.contact,1,True
37,2,sing,35,39,2946,2950,22,23.0,25.0,2934.0,2936.0,"62,68,22",40.0,135.0,2951.0,3046.0,,,,,verb.creation,1,True
39,1,said,34,38,3162,3166,72,1.0,31.0,3129.0,3159.0,8,39.0,52.0,3167.0,3180.0,,,,,verb.communication,1,True
41,2,growing,49,56,3283,3290,30,41.0,44.0,3275.0,3278.0,,57.0,81.0,3291.0,3315.0,82.0,143.0,3316.0,3377.0,verb.change,1,True
42,3,feed,36,40,3415,3419,30,1.0,2.0,3380.0,3381.0,73,41.0,62.0,3420.0,3441.0,,,,,verb.consumption,1,True
43,2,said,34,38,3478,3482,,1.0,31.0,3445.0,3475.0,"30,18",39.0,49.0,3483.0,3493.0,,,,,verb.communication,1,True
44,2,travelled,42,51,3537,3546,74,19.0,37.0,3514.0,3532.0,,,,,,,,,,verb.motion,1,True
45,0,warrant,6,13,3554,3561,18,4.0,5.0,3552.0,3553.0,,14.0,52.0,3562.0,3600.0,,,,,verb.communication,1,True
46,4,travelled,57,66,3660,3669,22,41.0,52.0,3644.0,3655.0,,67.0,99.0,3670.0,3702.0,,,,,verb.motion,1,True
