sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
An old man was sitting alone in his lodge by the side of a frozen stream. ,sitting,BEFORE,He appeared very old and very desolate. ,appeared,0,2,1,0
He appeared very old and very desolate. ,appeared,BEFORE,"His locks were white with age, and he trembled in every joint. ",trembled,2,3,0,1
"His locks were white with age, and he trembled in every joint. ",trembled,BEFORE,"Day after day passed in solitude, and he heard nothing but the sounds of the tempest, sweeping before it the new-fallen snow. ",heard,3,4,1,1
"Day after day passed in solitude, and he heard nothing but the sounds of the tempest, sweeping before it the new-fallen snow. ",heard,BEFORE,"One day as his fire was just dying, a handsome young man approached and entered his dwelling. ",dying,4,5,1,1
"One day as his fire was just dying, a handsome young man approached and entered his dwelling. ",dying,BEFORE,"One day as his fire was just dying, a handsome young man approached and entered his dwelling. ",approached,5,5,1,2
"One day as his fire was just dying, a handsome young man approached and entered his dwelling. ",approached,BEFORE,"One day as his fire was just dying, a handsome young man approached and entered his dwelling. ",entered,5,5,2,3
"One day as his fire was just dying, a handsome young man approached and entered his dwelling. ",entered,BEFORE," his eyes sparkled with life, and a smile played upon his lips. ",sparkled,5,7,3,0
" his eyes sparkled with life, and a smile played upon his lips. ",sparkled,BEFORE,He walked with a light and quick step. ,walked,7,8,0,0
He walked with a light and quick step. ,walked,AFTER,"His forehead was bound with a wreath of sweet grass, in place of the warrior's frontlet, and he carried a bunch of flowers in his hand. ",bound,8,9,0,1
"His forehead was bound with a wreath of sweet grass, in place of the warrior's frontlet, and he carried a bunch of flowers in his hand. ",bound,BEFORE,"my son,"" said the old man, ""I am happy to see you. ",said,9,11,1,0
"my son,"" said the old man, ""I am happy to see you. ",said,AFTER,"my son,"" said the old man, ""I am happy to see you. ",see,11,11,0,2
"my son,"" said the old man, ""I am happy to see you. ",see,BEFORE,"Come, tell me of your adventures, and what strange lands you have been to see. ",tell,11,13,2,1
"Come, tell me of your adventures, and what strange lands you have been to see. ",tell,AFTER,"Come, tell me of your adventures, and what strange lands you have been to see. ",see,13,13,1,4
"Come, tell me of your adventures, and what strange lands you have been to see. ",see,BEFORE,"I will tell you of my prowess and exploits, and what I can perform. ",tell,13,15,4,1
"I will tell you of my prowess and exploits, and what I can perform. ",tell,AFTER,"I will tell you of my prowess and exploits, and what I can perform. ",perform,15,15,1,3
"I will tell you of my prowess and exploits, and what I can perform. ",perform,BEFORE,"You shall do the same, and we will amuse ourselves."" ",do,15,16,3,1
