sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,1,sitting,15,22,15,22,2,0.0,10.0,0.0,10.0,2,29.0,41.0,29.0,41.0,,,,,verb.contact,1,True
2,0,appeared,3,11,134,142,2,0.0,2.0,131.0,133.0,,,,,,,,,,verb.perception,1,True
3,1,trembled,38,46,209,217,2,35.0,37.0,206.0,208.0,,,,,,,,,,verb.body,1,True
4,1,heard,41,46,275,280,2,38.0,40.0,272.0,274.0,,47.0,124.0,281.0,358.0,,,,,verb.perception,1,True
5,2,approached,57,67,417,427,6,36.0,56.0,396.0,416.0,,,,,,,,,,verb.motion,1,True
7,0,sparkled,10,18,508,516,2,1.0,9.0,499.0,507.0,,19.0,28.0,517.0,526.0,,,,,verb.perception,1,True
8,0,walked,3,9,565,571,2,0.0,2.0,562.0,564.0,,,,,,,,,,verb.motion,1,True
9,1,bound,17,22,618,623,2,0.0,12.0,601.0,613.0,,,,,,,,,,verb.contact,1,True
11,0,said,9,13,751,755,"9,26",0.0,6.0,742.0,748.0,"9,26",14.0,25.0,756.0,767.0,,,,,verb.communication,1,True
13,1,tell,6,10,808,812,,,,,,"9,26",11.0,13.0,813.0,815.0,,,,,verb.communication,1,True
15,3,perform,59,66,972,979,9,48.0,52.0,961.0,965.0,,,,,,,,,,verb.creation,1,True
16,1,do,10,12,991,993,26,0.0,3.0,981.0,984.0,,13.0,21.0,994.0,1002.0,,,,,verb.social,1,True
17,4,rendered,96,104,1130,1138,9,0.0,2.0,1034.0,1036.0,,105.0,109.0,1139.0,1143.0,,,,,verb.change,1,True
19,0,blow,3,7,1272,1276,9,1.0,2.0,1270.0,1271.0,9,8.0,17.0,1277.0,1286.0,,,,,verb.body,1,True
21,0,breathe,3,10,1390,1397,13,1.0,2.0,1388.0,1389.0,,,,,,,,,,verb.consumption,1,True
22,0,shake,3,8,1468,1473,9,1.0,2.0,1466.0,1467.0,9,9.0,17.0,1474.0,1482.0,,,,,verb.contact,1,True
23,1,blows,60,65,1594,1599,9,50.0,59.0,1584.0,1593.0,,66.0,70.0,1600.0,1604.0,,,,,verb.change,1,True
25,1,walk,83,87,1751,1755,9,81.0,82.0,1749.0,1750.0,,,,,,,,,,verb.motion,1,True
26,0,shake,3,8,1786,1791,13,1.0,2.0,1784.0,1785.0,13,9.0,20.0,1792.0,1803.0,,,,,verb.contact,1,True
28,0,recalls,9,16,1991,1998,13,0.0,8.0,1982.0,1990.0,,17.0,26.0,1999.0,2008.0,,,,,verb.communication,1,True
29,0,unlocks,24,31,2034,2041,13,0.0,23.0,2010.0,2033.0,,32.0,43.0,2042.0,2053.0,,,,,verb.contact,1,True
30,1,walk,34,38,2089,2093,13,32.0,33.0,2087.0,2088.0,,,,,,,,,,verb.motion,1,True
33,0,became,26,32,2229,2235,9,0.0,25.0,2203.0,2228.0,,33.0,39.0,2236.0,2242.0,,,,,verb.change,1,True
36,0,revealed,15,23,2447,2455,,,,,,13,24.0,40.0,2456.0,2472.0,,,,,verb.communication,1,True
37,0,looked,8,14,2515,2521,13,5.0,7.0,2512.0,2514.0,13,15.0,23.0,2522.0,2530.0,,,,,verb.perception,1,True
38,0,began,8,13,2595,2600,,0.0,7.0,2587.0,2594.0,13,14.0,35.0,2601.0,2622.0,,,,,verb.change,1,True
39,3,melted,76,82,2700,2706,13,69.0,71.0,2693.0,2695.0,,,,,,,,,,verb.change,1,True
40,1,placed,165,171,2889,2895,"1,23,24",52.0,107.0,2776.0,2831.0,13,172.0,185.0,2896.0,2909.0,201.0,233.0,2925.0,2957.0,verb.contact,1,True
