sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
0,1,sitting,verb.contact,2,2
5,3,entered,verb.motion,6,2
11,0,said,verb.communication,9,9
11,0,said,verb.communication,9,26
11,0,said,verb.communication,26,9
11,0,said,verb.communication,26,26
11,2,see,verb.perception,9,26
15,1,tell,verb.communication,9,26
15,1,tell,verb.communication,9,9
17,0,drew,verb.contact,9,9
17,3,filled,verb.change,9,9
17,5,handed,verb.communication,9,9
17,5,handed,verb.communication,9,10
19,0,blow,verb.body,9,9
22,0,shake,verb.contact,9,9
26,0,shake,verb.contact,13,13
37,0,looked,verb.perception,13,13
40,1,placed,verb.contact,1,13
40,1,placed,verb.contact,23,13
40,1,placed,verb.contact,24,13
