sentence_id,event_id,temporal_rank
1,2,0
1,3,1
2,0,2
4,0,3
3,6,4
4,3,5
5,0,6
6,0,7
6,1,8
7,8,9
7,1,10
7,2,11
8,0,12
9,2,13
12,0,14
12,3,15
13,1,16
13,6,17
13,2,18
15,0,19
14,2,20
17,0,21
18,2,22
18,0,23
20,1,24
20,2,25
21,1,26
21,0,27
22,0,28
22,4,29
22,1,30
23,1,31
23,2,32
23,4,33
24,1,34
24,3,35
25,0,36
26,0,37
29,2,38
28,0,39
30,0,40
30,1,41
30,3,42
31,1,43
31,4,44
32,1,45
32,5,46
32,6,47
33,0,48
34,0,49
34,1,50
35,0,51
36,2,52
36,1,53
36,4,54
41,0,55
39,0,56
41,3,57
42,0,58
42,1,59
42,2,60
43,1,61
44,0,62
44,4,63
44,1,64
45,2,65
45,1,66
46,0,67
48,0,68
48,4,69
48,3,70
48,1,71
50,3,72
50,0,73
51,0,74
52,0,75
52,2,76
52,3,77
52,6,78
52,4,79
54,0,80
54,1,81
55,1,82
56,0,83
55,3,84
56,1,85
56,2,86
57,1,87
57,2,88
57,5,89
57,6,90
57,7,91
58,3,92
58,2,93
61,0,94
59,1,95
61,1,96
61,6,97
62,0,98
64,0,99
64,1,100
64,2,101
