sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"He loved books, poetry, and music, which were uncommon tastes in those days; ",loved,BEFORE," and, above all, he loved to study nature, and to watch the habits of the beasts and birds that made their abode in the fields and woods round about his home. ",loved,1,2,0,0
" and, above all, he loved to study nature, and to watch the habits of the beasts and birds that made their abode in the fields and woods round about his home. ",loved,BEFORE," and, above all, he loved to study nature, and to watch the habits of the beasts and birds that made their abode in the fields and woods round about his home. ",study,2,2,0,1
" and, above all, he loved to study nature, and to watch the habits of the beasts and birds that made their abode in the fields and woods round about his home. ",study,BEFORE," and, above all, he loved to study nature, and to watch the habits of the beasts and birds that made their abode in the fields and woods round about his home. ",watch,2,2,1,2
" and, above all, he loved to study nature, and to watch the habits of the beasts and birds that made their abode in the fields and woods round about his home. ",watch,AFTER," and, above all, he loved to study nature, and to watch the habits of the beasts and birds that made their abode in the fields and woods round about his home. ",made,2,2,2,3
" and, above all, he loved to study nature, and to watch the habits of the beasts and birds that made their abode in the fields and woods round about his home. ",made,BEFORE,"Now it chanced that, one sunny May morning, Thomas left his Tower of Ercildoune, and went wandering into the woods that lay about the Huntly Burn, a little stream that came rushing down from the slopes of the Eildon Hills. ",left,2,3,3,1
"Now it chanced that, one sunny May morning, Thomas left his Tower of Ercildoune, and went wandering into the woods that lay about the Huntly Burn, a little stream that came rushing down from the slopes of the Eildon Hills. ",left,BEFORE,"Now it chanced that, one sunny May morning, Thomas left his Tower of Ercildoune, and went wandering into the woods that lay about the Huntly Burn, a little stream that came rushing down from the slopes of the Eildon Hills. ",went,3,3,1,2
"Now it chanced that, one sunny May morning, Thomas left his Tower of Ercildoune, and went wandering into the woods that lay about the Huntly Burn, a little stream that came rushing down from the slopes of the Eildon Hills. ",went,BEFORE,"Now it chanced that, one sunny May morning, Thomas left his Tower of Ercildoune, and went wandering into the woods that lay about the Huntly Burn, a little stream that came rushing down from the slopes of the Eildon Hills. ",wandering,3,3,2,3
"Now it chanced that, one sunny May morning, Thomas left his Tower of Ercildoune, and went wandering into the woods that lay about the Huntly Burn, a little stream that came rushing down from the slopes of the Eildon Hills. ",wandering,BEFORE," while down by the burnside the bright-eyed water-rats were poking their noses out of their holes, as if they knew that summer had come, and wanted to have a share in all that was going on. ",poking,3,8,3,1
" while down by the burnside the bright-eyed water-rats were poking their noses out of their holes, as if they knew that summer had come, and wanted to have a share in all that was going on. ",poking,AFTER," while down by the burnside the bright-eyed water-rats were poking their noses out of their holes, as if they knew that summer had come, and wanted to have a share in all that was going on. ",knew,8,8,1,2
" while down by the burnside the bright-eyed water-rats were poking their noses out of their holes, as if they knew that summer had come, and wanted to have a share in all that was going on. ",knew,BEFORE," while down by the burnside the bright-eyed water-rats were poking their noses out of their holes, as if they knew that summer had come, and wanted to have a share in all that was going on. ",wanted,8,8,2,5
" while down by the burnside the bright-eyed water-rats were poking their noses out of their holes, as if they knew that summer had come, and wanted to have a share in all that was going on. ",wanted,BEFORE,"Thomas felt so happy with the gladness of it all, that he threw himself down at the root of a tree, to watch the living things around him. ",felt,8,9,5,0
"Thomas felt so happy with the gladness of it all, that he threw himself down at the root of a tree, to watch the living things around him. ",felt,BEFORE,"Thomas felt so happy with the gladness of it all, that he threw himself down at the root of a tree, to watch the living things around him. ",watch,9,9,0,2
"Thomas felt so happy with the gladness of it all, that he threw himself down at the root of a tree, to watch the living things around him. ",watch,BEFORE,"As he was lying there, he heard the trampling of a horse's hooves, as it forced its way through the bushes; ",heard,9,10,2,2
"As he was lying there, he heard the trampling of a horse's hooves, as it forced its way through the bushes; ",heard,BEFORE," and, looking up, he saw the most beautiful lady that he had ever seen coming riding towards him on a grey palfrey. ",looking,10,11,2,0
" and, looking up, he saw the most beautiful lady that he had ever seen coming riding towards him on a grey palfrey. ",looking,BEFORE," and, looking up, he saw the most beautiful lady that he had ever seen coming riding towards him on a grey palfrey. ",saw,11,11,0,1
" and, looking up, he saw the most beautiful lady that he had ever seen coming riding towards him on a grey palfrey. ",saw,AFTER," and, looking up, he saw the most beautiful lady that he had ever seen coming riding towards him on a grey palfrey. ",seen,11,11,1,3
" and, looking up, he saw the most beautiful lady that he had ever seen coming riding towards him on a grey palfrey. ",seen,BEFORE," and, looking up, he saw the most beautiful lady that he had ever seen coming riding towards him on a grey palfrey. ",coming,11,11,3,4
" and, looking up, he saw the most beautiful lady that he had ever seen coming riding towards him on a grey palfrey. ",coming,BEFORE," and, looking up, he saw the most beautiful lady that he had ever seen coming riding towards him on a grey palfrey. ",riding,11,11,4,5
" and, looking up, he saw the most beautiful lady that he had ever seen coming riding towards him on a grey palfrey. ",riding,BEFORE,"She wore a hunting dress of glistening silk, the colour of the fresh spring grass; ",wore,11,12,5,0
"She wore a hunting dress of glistening silk, the colour of the fresh spring grass; ",wore,AFTER,"Her yellow hair, like rippling gold, hung loosely round her shoulders, and on her head sparkled a diadem of precious stones, which flashed like fire in the sunlight. ",hung,12,14,0,1
"Her yellow hair, like rippling gold, hung loosely round her shoulders, and on her head sparkled a diadem of precious stones, which flashed like fire in the sunlight. ",hung,BEFORE,"Her horse's reins were of beaten gold, all hung with little silver bells, so that, as she rode along, she made a sound like fairy music. ",rode,14,16,1,3
"Her horse's reins were of beaten gold, all hung with little silver bells, so that, as she rode along, she made a sound like fairy music. ",rode,BEFORE,"Her horse's reins were of beaten gold, all hung with little silver bells, so that, as she rode along, she made a sound like fairy music. ",made,16,16,3,4
"Her horse's reins were of beaten gold, all hung with little silver bells, so that, as she rode along, she made a sound like fairy music. ",made,AFTER,"Apparently she was bent on the chase, for she carried a hunting-horn and a sheaf of arrows; ",carried,16,17,4,1
"Apparently she was bent on the chase, for she carried a hunting-horn and a sheaf of arrows; ",carried,BEFORE," and she led seven greyhounds along in a leash, while as many scenting hounds ran loose at her horse's side. ",led,17,18,1,0
" and she led seven greyhounds along in a leash, while as many scenting hounds ran loose at her horse's side. ",led,BEFORE,"As she rode down the glen, she lilted a bit of an old Scotch song; ",rode,18,19,0,0
"As she rode down the glen, she lilted a bit of an old Scotch song; ",rode,BEFORE,"As she rode down the glen, she lilted a bit of an old Scotch song; ",lilted,19,19,0,1
"As she rode down the glen, she lilted a bit of an old Scotch song; ",lilted,BEFORE," and she carried herself with such a queenly air, and her dress was so magnificent, that Thomas was like to kneel by the side of the path and worship her, for he thought that it must be the Blessed Virgin herself. ",carried,19,20,1,0
" and she carried herself with such a queenly air, and her dress was so magnificent, that Thomas was like to kneel by the side of the path and worship her, for he thought that it must be the Blessed Virgin herself. ",carried,BEFORE," and she carried herself with such a queenly air, and her dress was so magnificent, that Thomas was like to kneel by the side of the path and worship her, for he thought that it must be the Blessed Virgin herself. ",kneel,20,20,0,3
" and she carried herself with such a queenly air, and her dress was so magnificent, that Thomas was like to kneel by the side of the path and worship her, for he thought that it must be the Blessed Virgin herself. ",kneel,BEFORE," and she carried herself with such a queenly air, and her dress was so magnificent, that Thomas was like to kneel by the side of the path and worship her, for he thought that it must be the Blessed Virgin herself. ",worship,20,20,3,4
" and she carried herself with such a queenly air, and her dress was so magnificent, that Thomas was like to kneel by the side of the path and worship her, for he thought that it must be the Blessed Virgin herself. ",worship,BEFORE," and she carried herself with such a queenly air, and her dress was so magnificent, that Thomas was like to kneel by the side of the path and worship her, for he thought that it must be the Blessed Virgin herself. ",thought,20,20,4,5
" and she carried herself with such a queenly air, and her dress was so magnificent, that Thomas was like to kneel by the side of the path and worship her, for he thought that it must be the Blessed Virgin herself. ",thought,BEFORE,"But when the rider came to where he was, and understood his thoughts, she shook her head sadly. ",came,20,21,5,0
"But when the rider came to where he was, and understood his thoughts, she shook her head sadly. ",came,BEFORE,"But when the rider came to where he was, and understood his thoughts, she shook her head sadly. ",understood,21,21,0,2
"But when the rider came to where he was, and understood his thoughts, she shook her head sadly. ",understood,BEFORE,"But when the rider came to where he was, and understood his thoughts, she shook her head sadly. ",shook,21,21,2,3
"But when the rider came to where he was, and understood his thoughts, she shook her head sadly. ",shook,BEFORE,"""I am not that Blessed Lady, as thou thinkest,"" she said. ",said,21,22,3,1
"""I am not that Blessed Lady, as thou thinkest,"" she said. ",said,AFTER,"""Men call me Queen, but it is of a far other country; ",call,22,23,1,0
"""Men call me Queen, but it is of a far other country; ",call,BEFORE,And certainly it seemed as if what she said were true; ,seemed,23,25,0,0
And certainly it seemed as if what she said were true; ,seemed,BEFORE,And certainly it seemed as if what she said were true; ,said,25,25,0,1
And certainly it seemed as if what she said were true; ,said,AFTER," for, from that moment, it was as if a spell were cast over Thomas, making him forget prudence, and caution, and common-sense itself. ",cast,25,26,1,2
" for, from that moment, it was as if a spell were cast over Thomas, making him forget prudence, and caution, and common-sense itself. ",cast,BEFORE," for, from that moment, it was as if a spell were cast over Thomas, making him forget prudence, and caution, and common-sense itself. ",making,26,26,2,3
" for, from that moment, it was as if a spell were cast over Thomas, making him forget prudence, and caution, and common-sense itself. ",making,BEFORE," for, from that moment, it was as if a spell were cast over Thomas, making him forget prudence, and caution, and common-sense itself. ",forget,26,26,3,4
" for, from that moment, it was as if a spell were cast over Thomas, making him forget prudence, and caution, and common-sense itself. ",forget,AFTER,"For he knew that it was dangerous for mortals to meddle with Fairies, yet he was so entranced with the Lady's beauty that he begged her to give him a kiss. ",knew,26,27,4,0
"For he knew that it was dangerous for mortals to meddle with Fairies, yet he was so entranced with the Lady's beauty that he begged her to give him a kiss. ",knew,BEFORE,"For he knew that it was dangerous for mortals to meddle with Fairies, yet he was so entranced with the Lady's beauty that he begged her to give him a kiss. ",begged,27,27,0,5
"For he knew that it was dangerous for mortals to meddle with Fairies, yet he was so entranced with the Lady's beauty that he begged her to give him a kiss. ",begged,BEFORE,"For he knew that it was dangerous for mortals to meddle with Fairies, yet he was so entranced with the Lady's beauty that he begged her to give him a kiss. ",give,27,27,5,6
"For he knew that it was dangerous for mortals to meddle with Fairies, yet he was so entranced with the Lady's beauty that he begged her to give him a kiss. ",give,BEFORE,"This was just what she wanted, for she knew that if she once kissed him she had him in her power. ",wanted,27,28,6,1
"This was just what she wanted, for she knew that if she once kissed him she had him in her power. ",wanted,AFTER,"This was just what she wanted, for she knew that if she once kissed him she had him in her power. ",knew,28,28,1,2
"This was just what she wanted, for she knew that if she once kissed him she had him in her power. ",knew,AFTER,"This was just what she wanted, for she knew that if she once kissed him she had him in her power. ",kissed,28,28,2,3
"This was just what she wanted, for she knew that if she once kissed him she had him in her power. ",kissed,BEFORE,"This was just what she wanted, for she knew that if she once kissed him she had him in her power. ",had,28,28,3,4
"This was just what she wanted, for she knew that if she once kissed him she had him in her power. ",had,BEFORE,"For her beautiful mantle and riding-skirt of silk seemed to fade away, leaving her clad in a long grey garment, which was just the colour of ashes. ",leaving,28,30,4,2
"For her beautiful mantle and riding-skirt of silk seemed to fade away, leaving her clad in a long grey garment, which was just the colour of ashes. ",leaving,BEFORE,"Her beauty seemed to fade away also, and she grew old and wan; ",seemed,30,31,2,0
"Her beauty seemed to fade away also, and she grew old and wan; ",seemed,BEFORE,"Her beauty seemed to fade away also, and she grew old and wan; ",grew,31,31,0,2
"Her beauty seemed to fade away also, and she grew old and wan; ",grew,BEFORE," and, worst of all, half of her abundant yellow hair went grey before his very eyes. ",went,31,32,2,0
" and, worst of all, half of her abundant yellow hair went grey before his very eyes. ",went,BEFORE,"She saw the poor man's astonishment and terror, and she burst into a mocking laugh. ",saw,32,33,0,0
"She saw the poor man's astonishment and terror, and she burst into a mocking laugh. ",saw,BEFORE,"She saw the poor man's astonishment and terror, and she burst into a mocking laugh. ",burst,33,33,0,1
"She saw the poor man's astonishment and terror, and she burst into a mocking laugh. ",burst,BEFORE,"""I am not so fair to look on now as I was at first,"" she said, ""but that matters little, for thou hast sold thyself, Thomas, to be my servant for seven long years. ",said,33,34,1,3
"""I am not so fair to look on now as I was at first,"" she said, ""but that matters little, for thou hast sold thyself, Thomas, to be my servant for seven long years. ",said,AFTER,"""I am not so fair to look on now as I was at first,"" she said, ""but that matters little, for thou hast sold thyself, Thomas, to be my servant for seven long years. ",matters,34,34,3,4
"""I am not so fair to look on now as I was at first,"" she said, ""but that matters little, for thou hast sold thyself, Thomas, to be my servant for seven long years. ",matters,AFTER,"""I am not so fair to look on now as I was at first,"" she said, ""but that matters little, for thou hast sold thyself, Thomas, to be my servant for seven long years. ",sold,34,34,4,5
"""I am not so fair to look on now as I was at first,"" she said, ""but that matters little, for thou hast sold thyself, Thomas, to be my servant for seven long years. ",sold,BEFORE,"For whoso kisseth the Fairy Queen must e'en go with her to Fairy-land, and serve her there till that time is past."" ",go,34,35,5,3
"For whoso kisseth the Fairy Queen must e'en go with her to Fairy-land, and serve her there till that time is past."" ",go,BEFORE,"For whoso kisseth the Fairy Queen must e'en go with her to Fairy-land, and serve her there till that time is past."" ",serve,35,35,3,4
