sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label
0,2,fetched,68,75,68,75,,27.0,33.0,27.0,33.0,6,81.0,98.0,81.0,98.0,,,,,verb.possession,1
1,3,gave,44,48,144,148,1,40.0,43.0,140.0,143.0,8,49.0,53.0,149.0,153.0,,,,,verb.communication,1
2,1,wished,86,92,259,265,11,75.0,85.0,248.0,258.0,"11,12",93.0,103.0,266.0,276.0,123.0,149.0,296.0,322.0,verb.emotion,1
3,0,lay,16,19,340,343,13,6.0,15.0,330.0,339.0,,20.0,33.0,344.0,357.0,,,,,verb.contact,1
3,2,entered,63,70,387,394,14,35.0,62.0,359.0,386.0,,71.0,79.0,395.0,403.0,,,,,verb.motion,1
3,3,knew,92,96,416,420,,85.0,91.0,409.0,415.0,14,97.0,108.0,421.0,432.0,,,,,verb.cognition,1
3,5,came,124,128,448,452,14,120.0,123.0,444.0,447.0,,,,,,,,,,verb.motion,1
4,0,spoke,14,19,468,473,17,0.0,13.0,454.0,467.0,,20.0,27.0,474.0,481.0,28.0,42.0,482.0,496.0,verb.communication,1
4,1,said,48,52,502,506,17,0.0,13.0,454.0,467.0,"13,19",53.0,197.0,507.0,651.0,,,,,verb.communication,1
4,4,allowed,74,81,528,535,13,58.0,61.0,512.0,515.0,,,,,,,,,,verb.social,1
4,7,fetch,188,193,642,647,19,163.0,181.0,617.0,635.0,13,194.0,197.0,648.0,651.0,,,,,verb.contact,1
5,0,heard,14,19,667,672,20,5.0,13.0,658.0,666.0,,20.0,24.0,673.0,677.0,,,,,verb.perception,1
5,1,took,28,32,681,685,20,25.0,27.0,678.0,680.0,17,33.0,42.0,686.0,695.0,43.0,51.0,696.0,704.0,verb.cognition,1
5,2,posted,57,63,710,716,20,25.0,27.0,678.0,680.0,21,64.0,70.0,717.0,723.0,71.0,153.0,724.0,806.0,verb.social,1
5,3,watch,74,79,727,732,,,,,,22,80.0,104.0,733.0,757.0,105.0,153.0,,,verb.social,1
6,0,gave,24,28,832,836,1,20.0,23.0,828.0,831.0,"24,23",29.0,43.0,837.0,851.0,,,,,verb.possession,1
6,1,rejoiced,97,105,905,913,25,79.0,96.0,887.0,904.0,,,,,,,,,,verb.emotion,1
7,1,warned,59,65,974,980,26,4.0,22.0,919.0,937.0,"28,20",66.0,74.0,981.0,989.0,,,,,verb.communication,1
7,2,let,82,85,997,1000,20,66.0,74.0,981.0,989.0,28,86.0,162.0,1001.0,1077.0,,,,,verb.social,1
8,0,gave,28,32,1107,1111,1,24.0,27.0,1103.0,1106.0,"30,23",33.0,47.0,1112.0,1126.0,,,,,verb.communication,1
9,0,appeared,30,38,1175,1183,17,16.0,29.0,1161.0,1174.0,,,,,,,,,,verb.change,1
9,1,repeated,44,52,1189,1197,17,16.0,29.0,1161.0,1174.0,17,53.0,84.0,1198.0,1229.0,,,,,verb.communication,1
