coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
6,a fisherman,a fisherman,0,27,38,0
6,a fisherman,he,2,31,33,0
6,a fisherman,he,1,13,15,0
6,a fisherman,he,1,34,36,0
6,a fisherman,he,2,7,9,0
7,the king,he,81,25,27,0
7,the king,he,91,121,123,0
7,the king,the king,58,88,96,0
7,the king,he,91,59,61,0
7,the king,The king,91,0,8,0
7,the king,you,87,23,26,0
7,the king,you,87,5,8,0
7,the king,you,86,35,38,0
7,the king,He,82,0,2,0
7,the king,him,81,92,95,0
7,the king,He,117,0,2,0
7,the king,the king,81,5,13,0
7,the king,himself,117,13,20,0
7,the king,the king,119,21,29,0
7,the king,he,120,5,7,0
7,the king,you,80,5,8,0
7,the king,him,121,37,40,0
7,the king,he,121,46,48,0
7,the king,he,121,81,83,0
7,the king,his,121,108,111,0
7,the king,he,122,10,12,0
7,the king,he,92,6,8,0
7,the king,him,116,36,39,0
7,the king,he,103,5,7,0
7,the king,he,101,38,40,0
7,the king,you,112,30,33,0
7,the king,the king,0,55,63,0
7,the king,you,114,9,12,0
7,the king,him,111,73,76,0
7,the king,your,114,21,25,0
7,the king,the king,0,94,102,0
7,the king,he,111,40,42,0
7,the king,the king,111,21,29,0
7,the king,you,109,15,18,0
7,the king,he,108,36,38,0
7,the king,he,108,6,8,0
7,the king,himself,107,24,31,0
7,the king,he,107,14,16,0
7,the king,my,106,70,72,0
7,the king,I,106,54,55,0
7,the king,he,106,39,41,0
7,the king,he,106,10,12,0
7,the king,The king,116,0,8,0
7,the king,I,104,33,34,0
7,the king,me,104,5,7,0
7,the king,you,77,34,37,0
7,the king,the king,101,5,13,0
7,the king,you,77,4,7,0
7,the king,the king,120,28,36,0
7,the king,the king,72,117,125,0
7,the king,his,9,62,65,1
7,the king,the king,9,7,15,0
7,the king,he,8,153,155,0
7,the king,he,8,114,116,0
7,the king,he,8,91,93,0
7,the king,the king,8,70,78,0
7,the king,The king,11,0,8,0
7,the king,him,76,18,21,0
11,the man,his,7,17,20,1
11,the man,his,93,18,21,0
11,the man,his,93,34,37,0
11,the man,he,94,42,44,0
11,the man,his,94,61,64,0
11,the man,he,95,5,7,0
11,the man,him,95,14,17,0
11,the man,he,19,87,89,0
11,the man,I,95,34,35,0
11,the man,I,95,54,55,0
11,the man,I,96,10,11,0
11,the man,the man,97,28,35,0
11,the man,I,97,38,39,0
11,the man,you,97,48,51,0
11,the man,You,100,0,3,0
11,the man,you,100,19,22,0
11,the man,The man,93,0,7,0
11,the man,him,101,22,25,0
11,the man,him,6,52,55,0
11,the man,me,3,95,97,0
11,the man,you,3,81,84,0
11,the man,he,6,119,121,0
11,the man,his,6,131,134,0
11,the man,he,7,9,11,0
11,the man,he,5,47,49,0
11,the man,he,19,64,66,0
11,the man,he,95,19,21,0
11,the man,he,6,22,24,0
11,the man,you,3,149,152,0
11,the man,he,4,33,35,0
11,the man,he,5,3,5,0
11,the man,my,77,51,53,1
11,the man,he,6,9,11,0
11,the man,the man,76,5,12,0
11,the man,the man,4,5,12,0
11,the man,the man,82,30,37,0
11,the man,his,82,67,70,0
11,the man,your,3,137,141,0
11,the man,I,86,23,24,0
11,the man,he,77,29,31,0
11,the man,the man,20,45,52,0
11,the man,the man,86,13,20,0
11,the man,my,87,40,42,1
11,the man,he,19,39,41,0
11,the man,the man,19,17,24,0
11,the man,him,91,17,20,0
14,a little son,a little son,6,56,68,0
16,his wife,her,7,99,102,1
16,his wife,his wife,7,17,25,0
16,his wife,she,7,36,39,0
3,God,God,64,1,4,0
3,God,God,7,76,79,0
17,her husband,her husband,7,99,110,0
18,the woman,the woman,8,4,13,0
21,the boy,the boy,8,134,141,0
21,the boy,him,8,171,174,0
21,the boy,him,9,21,24,0
21,the boy,he,10,112,114,0
21,the boy,his,12,52,55,1
21,the boy,he,10,80,82,0
21,the boy,he,12,13,15,0
21,the boy,he,12,41,43,0
21,the boy,he,9,54,56,0
21,the boy,his,10,68,71,1
21,the boy,he,10,35,37,0
21,the boy,him,9,37,40,0
21,the boy,he,9,81,83,0
21,the boy,the boy,10,13,20,0
23,his own son,his own son,9,62,73,0
25,his father,his father,10,68,78,0
25,his father,his father,12,52,62,0
25,his father,His father,59,0,10,0
30,the son,he,14,18,20,0
30,the son,him,19,118,121,0
30,the son,he,16,49,51,0
30,the son,He,16,0,2,0
30,the son,the son,13,5,12,0
30,the son,he,15,54,56,0
30,the son,he,13,19,21,0
30,the son,his,13,36,39,0
30,the son,he,16,29,31,0
33,the youth,the youth,49,130,139,0
33,the youth,him,49,34,37,0
33,the youth,him,49,20,23,0
33,the youth,he,48,123,125,0
33,the youth,the youth,48,88,97,0
33,the youth,he,49,145,147,0
33,the youth,you,34,135,138,0
33,the youth,him,32,12,15,0
33,the youth,you,36,6,9,0
33,the youth,he,35,23,25,0
33,the youth,the youth,35,12,21,0
33,the youth,you,34,117,120,0
33,the youth,you,34,56,59,0
33,the youth,you,24,43,46,0
33,the youth,he,33,48,50,0
33,the youth,you,21,61,64,0
33,the youth,he,31,5,7,0
33,the youth,you,30,71,74,0
33,the youth,you,36,39,42,0
33,the youth,you,30,36,39,0
33,the youth,you,30,4,7,0
33,the youth,he,28,4,6,0
33,the youth,he,27,26,28,0
33,the youth,he,27,5,7,0
33,the youth,him,26,77,80,0
33,the youth,him,26,61,64,0
33,the youth,the youth,26,5,14,0
33,the youth,your,25,76,80,0
33,the youth,you,25,62,65,0
33,the youth,you,25,48,51,0
33,the youth,you,30,28,31,0
33,the youth,you,37,8,11,0
33,the youth,you,34,5,8,0
33,the youth,you,38,82,85,0
33,the youth,the youth,14,87,96,0
33,the youth,the youth,18,6,15,0
33,the youth,the youth,19,48,57,0
33,the youth,you,20,4,7,0
33,the youth,he,44,5,7,0
33,the youth,himself,43,83,90,0
33,the youth,he,43,51,53,0
33,the youth,he,43,5,7,0
33,the youth,you,37,53,56,0
