sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"There was once a woman who wanted to have quite a tiny, little child, but she did not know where to get one from. ",wanted,BEFORE,"There was once a woman who wanted to have quite a tiny, little child, but she did not know where to get one from. ",have,0,0,1,2
"There was once a woman who wanted to have quite a tiny, little child, but she did not know where to get one from. ",have,BEFORE,"There was once a woman who wanted to have quite a tiny, little child, but she did not know where to get one from. ",know,0,0,2,4
"There was once a woman who wanted to have quite a tiny, little child, but she did not know where to get one from. ",know,BEFORE,"There was once a woman who wanted to have quite a tiny, little child, but she did not know where to get one from. ",get,0,0,4,5
"There was once a woman who wanted to have quite a tiny, little child, but she did not know where to get one from. ",get,BEFORE,"So one day she went to an old Witch and said to her: 'I should so much like to have a tiny, little child; ",said,0,1,5,1
"So one day she went to an old Witch and said to her: 'I should so much like to have a tiny, little child; ",said,AFTER,"So one day she went to an old Witch and said to her: 'I should so much like to have a tiny, little child; ",have,1,1,1,3
"So one day she went to an old Witch and said to her: 'I should so much like to have a tiny, little child; ",have,BEFORE, can you tell me where I can get one?' ,tell,1,2,3,1
 can you tell me where I can get one?' ,tell,BEFORE, can you tell me where I can get one?' ,get,2,2,1,3
 can you tell me where I can get one?' ,get,AFTER,"'Here is a barley-corn for you, but it's not the kind the farmer sows in his field, or feeds the cocks and hens with, I can tell you. ",sows,2,5,3,2
"'Here is a barley-corn for you, but it's not the kind the farmer sows in his field, or feeds the cocks and hens with, I can tell you. ",sows,BEFORE,"'Here is a barley-corn for you, but it's not the kind the farmer sows in his field, or feeds the cocks and hens with, I can tell you. ",tell,5,5,2,6
"'Here is a barley-corn for you, but it's not the kind the farmer sows in his field, or feeds the cocks and hens with, I can tell you. ",tell,BEFORE,"Put it in a flower-pot, and then you will see something happen.' ",see,5,6,6,2
"Put it in a flower-pot, and then you will see something happen.' ",see,BEFORE,"'said the woman, and gave the Witch a shilling, for that was what it cost. ",gave,6,8,2,1
"'said the woman, and gave the Witch a shilling, for that was what it cost. ",gave,BEFORE,Then she went home and planted the barley-corn; ,planted,8,9,1,1
Then she went home and planted the barley-corn; ,planted,BEFORE,"'exclaimed the woman, and she kissed the red and yellow petals; ",kissed,9,12,1,1
"'exclaimed the woman, and she kissed the red and yellow petals; ",kissed,BEFORE, but as she kissed them the flower burst open. ,kissed,12,13,1,0
 but as she kissed them the flower burst open. ,kissed,BEFORE," but in the middle of the blossom, on the green velvety petals, sat a little girl, quite tiny, trim, and pretty. ",sat,13,15,0,0
" but in the middle of the blossom, on the green velvety petals, sat a little girl, quite tiny, trim, and pretty. ",sat,BEFORE, so they called her Thumbelina. ,called,15,17,0,0
 so they called her Thumbelina. ,called,AFTER,"An elegant polished walnut-shell served Thumbelina as a cradle, the blue petals of a violet were her mattress, and a rose-leaf her coverlid. ",served,17,18,0,0
"An elegant polished walnut-shell served Thumbelina as a cradle, the blue petals of a violet were her mattress, and a rose-leaf her coverlid. ",served,AFTER,"There she lay at night, but in the day-time she used to play about on the table; ",play,18,19,0,2
"There she lay at night, but in the day-time she used to play about on the table; ",play,BEFORE," here the woman had put a bowl, surrounded by a ring of flowers, with their stalks in water, in the middle of which floated a great tulip pedal, and on this Thumbelina sat, and sailed from one side of the bowl to the other, rowing herself with two white horse-hairs for oars. ",put,19,20,2,1
" here the woman had put a bowl, surrounded by a ring of flowers, with their stalks in water, in the middle of which floated a great tulip pedal, and on this Thumbelina sat, and sailed from one side of the bowl to the other, rowing herself with two white horse-hairs for oars. ",put,BEFORE," here the woman had put a bowl, surrounded by a ring of flowers, with their stalks in water, in the middle of which floated a great tulip pedal, and on this Thumbelina sat, and sailed from one side of the bowl to the other, rowing herself with two white horse-hairs for oars. ",sat,20,20,1,4
" here the woman had put a bowl, surrounded by a ring of flowers, with their stalks in water, in the middle of which floated a great tulip pedal, and on this Thumbelina sat, and sailed from one side of the bowl to the other, rowing herself with two white horse-hairs for oars. ",sat,BEFORE,"She could sing, too, with a voice more soft and sweet than had ever been heard before. ",sing,20,22,4,1
"She could sing, too, with a voice more soft and sweet than had ever been heard before. ",sing,AFTER,"One night, when she was lying in her pretty little bed, an old toad crept in through a broken pane in the window. ",lying,22,23,1,1
