sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,1,wanted,27,33,27,33,,15.0,22.0,15.0,22.0,9,34.0,68.0,34.0,68.0,,,,,verb.emotion,1,True
1,1,said,40,44,154,158,8,11.0,14.0,125.0,128.0,"9,8,10",45.0,51.0,159.0,165.0,,,,,verb.communication,1,True
2,1,tell,9,13,228,232,10,5.0,8.0,224.0,227.0,8,14.0,16.0,233.0,235.0,,,,,verb.communication,1,True
5,2,sows,65,69,372,376,11,45.0,53.0,352.0,360.0,,,,,,,,,,verb.contact,1,True
6,2,see,42,45,483,486,10,33.0,36.0,474.0,477.0,,46.0,62.0,487.0,503.0,,,,,verb.perception,1,True
8,1,gave,21,25,542,546,,,,,,117,26.0,46.0,547.0,567.0,48.0,73.0,,,verb.possession,1,True
9,1,planted,23,30,619,626,8,5.0,8.0,601.0,604.0,,31.0,46.0,627.0,642.0,,,,,verb.contact,1,True
12,1,kissed,30,36,856,862,13,26.0,29.0,852.0,855.0,,37.0,62.0,863.0,888.0,,,,,verb.contact,1,True
13,0,kissed,12,18,901,907,13,8.0,11.0,897.0,900.0,,19.0,23.0,908.0,912.0,,,,,verb.contact,1,True
15,0,sat,64,67,1049,1052,,,,,,120,68.0,111.0,1053.0,1096.0,,,,,verb.contact,1,True
17,0,called,9,15,1147,1153,,4.0,8.0,1142.0,1146.0,"2,120",16.0,19.0,1154.0,1157.0,,,,,verb.communication,1,True
18,0,served,33,39,1203,1209,,0.0,32.0,1170.0,1202.0,2,40.0,50.0,1210.0,1220.0,51.0,62.0,1221.0,1232.0,verb.social,1,True
19,2,play,56,60,1367,1371,120,44.0,47.0,1355.0,1358.0,,61.0,66.0,1372.0,1377.0,67.0,79.0,1378.0,1390.0,verb.creation,1,True
20,4,sat,168,171,1559,1562,2,149.0,167.0,1540.0,1558.0,,,,,,,,,,verb.contact,1,True
22,1,sing,10,14,1705,1709,2,0.0,3.0,1695.0,1698.0,,,,,,,,,,verb.creation,1,True
23,1,lying,24,29,1806,1811,120,16.0,19.0,1798.0,1801.0,120,30.0,54.0,1812.0,1836.0,,,,,verb.contact,1,True
25,0,hopped,5,11,1939,1945,122,1.0,4.0,1935.0,1938.0,,,,,,,,,,verb.motion,1,True
32,3,saw,30,33,2390,2393,20,27.0,29.0,2387.0,2389.0,123,34.0,76.0,2394.0,2436.0,,,,,verb.perception,1,True
33,3,wake,31,35,2469,2473,,24.0,27.0,2462.0,2465.0,22,36.0,45.0,2474.0,2483.0,,,,,verb.body,1,True
34,1,escape,11,17,2509,2515,123,1.0,4.0,2499.0,2502.0,,18.0,20.0,2516.0,2518.0,21.0,29.0,2519.0,2527.0,verb.motion,1,True
36,1,put,8,11,2567,2570,,0.0,2.0,2559.0,2561.0,123,12.0,15.0,2571.0,2574.0,16.0,23.0,2575.0,2582.0,verb.contact,1,True
42,1,saw,68,71,3108,3111,2,64.0,67.0,3104.0,3107.0,2,72.0,111.0,3112.0,3151.0,,,,,verb.perception,1,True
44,1,decorating,39,49,3280,3290,22,0.0,12.0,3241.0,3253.0,22,50.0,58.0,3291.0,3299.0,99.0,124.0,3340.0,3365.0,verb.creation,1,True
45,0,swam,10,14,3400,3404,22,6.0,9.0,3396.0,3399.0,,,,,,,,,,verb.motion,1,True
46,3,came,88,92,3549,3553,2,69.0,87.0,3530.0,3548.0,,93.0,98.0,3554.0,3559.0,,,,,verb.motion,1,True
47,1,said,52,56,3613,3617,22,0.0,12.0,3561.0,3573.0,"128,22",59.0,73.0,3620.0,3634.0,,,,,verb.communication,1,True
48,1,marry,11,16,3646,3651,2,1.0,4.0,3636.0,3639.0,128,17.0,20.0,3652.0,3655.0,,,,,verb.social,1,True
50,2,say,28,31,3760,3763,130,14.0,21.0,3746.0,3753.0,,,,,,,,,,verb.communication,1,True
52,5,marry,114,119,3939,3944,2,64.0,67.0,3889.0,3892.0,"30,22",120.0,132.0,3945.0,3957.0,,,,,verb.social,1,True
53,5,said,105,109,4064,4068,2,92.0,96.0,4051.0,4055.0,,,,,,,,,,verb.communication,1,True
54,1,see,31,34,4100,4103,133,4.0,8.0,4073.0,4077.0,135,35.0,50.0,4104.0,4119.0,,,,,verb.perception,1,True
55,0,saw,10,13,4131,4134,133,5.0,9.0,4126.0,4130.0,135,14.0,17.0,4135.0,4138.0,,,,,verb.perception,1,True
58,3,sitting,92,99,4358,4365,135,66.0,74.0,4332.0,4340.0,,,,,,,,,,verb.contact,1,True
59,1,bearing,39,46,4435,4442,,0.0,4.0,4396.0,4400.0,2,47.0,57.0,4443.0,4453.0,58.0,90.0,4454.0,4486.0,verb.contact,1,True
60,3,sang,90,94,4578,4582,140,38.0,76.0,4526.0,4564.0,,97.0,122.0,4585.0,4610.0,,,,,verb.communication,1,True
62,0,left,17,21,4671,4675,2,6.0,16.0,4660.0,4670.0,2,22.0,37.0,4676.0,4691.0,,,,,verb.motion,1,True
64,0,pleased,11,18,4793,4800,2,0.0,10.0,4782.0,4792.0,,19.0,22.0,4801.0,4804.0,,,,,verb.emotion,1,True
66,1,tied,27,31,5025,5029,2,0.0,3.0,4998.0,5001.0,,32.0,59.0,5030.0,5057.0,,,,,verb.contact,1,True
68,0,came,19,23,5173,5177,37,0.0,18.0,5154.0,5172.0,,,,,,,,,,verb.motion,1,True
69,2,put,52,55,5242,5245,37,1.0,3.0,5191.0,5193.0,"2,37",56.0,70.0,5246.0,5260.0,,,,,verb.contact,1,True
70,2,fastened,83,91,5401,5409,37,76.0,78.0,5394.0,5396.0,,92.0,103.0,5410.0,5421.0,,,,,verb.contact,1,True
73,6,starve,145,151,5702,5708,37,137.0,139.0,5694.0,5696.0,,,,,,,,,,verb.body,1,True
74,1,trouble,27,34,5746,5753,39,4.0,18.0,5723.0,5737.0,39,35.0,42.0,5754.0,5761.0,43.0,53.0,5762.0,5772.0,verb.emotion,1,True
75,3,told,95,99,5868,5872,39,1.0,3.0,5774.0,5776.0,"2,41",100.0,103.0,5873.0,5876.0,,,,,verb.communication,1,True
76,1,came,63,67,6018,6022,42,10.0,62.0,5965.0,6017.0,,,,,,,,,,verb.motion,1,True
77,2,has,59,62,6095,6098,2,55.0,58.0,6091.0,6094.0,,63.0,76.0,6099.0,6112.0,,,,,verb.possession,1,True
