sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label
0,0,lived,30.0,35.0,30.0,35.0,,0.0,4.0,0.0,4.0,"7,6",36.0,59.0,36.0,59.0,,,,,verb.contact,1
1,3,spoiled,107.0,114.0,168.0,175.0,,80.0,101.0,141.0,162.0,7,115.0,163.0,176.0,224.0,,,,,verb.emotion,1
2,1,grumbling,15.0,24.0,241.0,250.0,7,0.0,3.0,226.0,229.0,,25.0,40.0,251.0,266.0,41.0,62.0,267.0,288.0,verb.communication,1
3,1,ceased,32.0,38.0,322.0,328.0,8,0.0,11.0,290.0,301.0,,,,,,,,,,verb.perception,1
3,2,take,42.0,46.0,332.0,336.0,8,0.0,11.0,290.0,301.0,7,47.0,74.0,337.0,364.0,,,,,verb.cognition,1
4,1,had,60.0,63.0,426.0,429.0,8,57.0,59.0,423.0,425.0,15,64.0,72.0,430.0,438.0,,,,,verb.possession,1
5,0,loved,3.0,8.0,504.0,509.0,8,0.0,2.0,501.0,503.0,"18,6",9.0,66.0,510.0,567.0,,,,,verb.emotion,1
6,3,talk,117.0,121.0,686.0,690.0,,,,,,7,122.0,128.0,691.0,697.0,,,,,verb.communication,1
6,4,teach,136.0,141.0,705.0,710.0,,,,,,7,142.0,145.0,711.0,714.0,,,,,verb.communication,1
6,5,learned,171.0,178.0,740.0,747.0,7,146.0,159.0,715.0,728.0,,,,,,,,,,verb.cognition,1
7,1,open,18.0,22.0,780.0,784.0,8,0.0,11.0,762.0,773.0,7,23.0,31.0,785.0,793.0,,,,,verb.contact,1
7,2,let,36.0,39.0,798.0,801.0,8,0.0,11.0,762.0,773.0,7,40.0,62.0,802.0,824.0,,,,,verb.social,1
7,3,fly,44.0,47.0,806.0,809.0,7,40.0,43.0,802.0,805.0,,,,,,,,,,verb.motion,1
8,1,saved,38.0,43.0,894.0,899.0,8,28.0,30.0,884.0,886.0,8,44.0,57.0,900.0,913.0,,,,,verb.possession,1
8,2,feed,86.0,90.0,942.0,946.0,8,28.0,30.0,884.0,886.0,8,91.0,106.0,947.0,962.0,,,,,verb.consumption,1
9,1,chop,36.0,40.0,1000.0,1004.0,8,12.0,23.0,976.0,987.0,,41.0,45.0,1005.0,1009.0,,,,,verb.contact,1
9,2,stopped,79.0,86.0,1043.0,1050.0,24,65.0,78.0,1029.0,1042.0,,,,,,,,,,verb.motion,1
9,3,wash,98.0,102.0,1062.0,1066.0,24,65.0,78.0,1029.0,1042.0,,103.0,110.0,1067.0,1074.0,,,,,verb.contact,1
10,1,made,24.0,28.0,1100.0,1104.0,24,16.0,19.0,1092.0,1095.0,,29.0,40.0,1105.0,1116.0,,,,,verb.creation,1
11,1,filled,24.0,30.0,1196.0,1202.0,24,1.0,9.0,1173.0,1181.0,,31.0,35.0,1203.0,1207.0,36.0,45.0,1208.0,1217.0,verb.consumption,1
12,1,wondering,14.0,23.0,1249.0,1258.0,24,6.0,9.0,1241.0,1244.0,,24.0,64.0,1259.0,1299.0,,,,,verb.cognition,1
12,7,bowing,97.0,103.0,1332.0,1338.0,,,,,,"26,7",104.0,201.0,1339.0,1436.0,,,,,verb.motion,1
12,11,taught,157.0,163.0,1392.0,1398.0,7,130.0,137.0,1365.0,1372.0,"26,7",164.0,178.0,1399.0,1413.0,,,,,verb.communication,1
12,13,said,206.0,210.0,1441.0,1445.0,,66.0,70.0,1301.0,1305.0,7,213.0,246.0,1448.0,1481.0,,,,,verb.communication,1
12,16,taken,230.0,235.0,1465.0,1470.0,7,219.0,220.0,1454.0,1455.0,,236.0,246.0,1471.0,1481.0,,,,,verb.change,1
13,0,thought,2.0,9.0,1485.0,1492.0,7,0.0,1.0,1483.0,1484.0,7,10.0,55.0,1493.0,1538.0,,,,,verb.cognition,1
