sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"In a church-nave a specter sat night by night, and the specter's name was Torre Jeppe. ",sat,BEFORE,"They were laughing and joking, and among other things they asked the girl in the house, who was known to be brave, what they would have to give her to go to church and fetch back Torre Jeppe. ",asked,0,3,0,3
"They were laughing and joking, and among other things they asked the girl in the house, who was known to be brave, what they would have to give her to go to church and fetch back Torre Jeppe. ",asked,BEFORE,"She could trust herself to do it, was her answer; ",trust,3,4,3,1
"She could trust herself to do it, was her answer; ",trust,BEFORE, but they must give her a dress of home-spun wool for her trouble. ,give,4,5,1,1
 but they must give her a dress of home-spun wool for her trouble. ,give,AFTER,"That she should surely have, said the tailors, for they did not believe the girl would dare such a venture. ",dare,5,6,1,6
"That she should surely have, said the tailors, for they did not believe the girl would dare such a venture. ",dare,BEFORE,Yet she took the tailors at their word and really went. ,took,6,7,6,0
Yet she took the tailors at their word and really went. ,took,BEFORE,"When she reached the church, she took Torre Jeppe on her back, carried him home and sat him down on the bench beside the tailors. ",took,7,8,0,1
"When she reached the church, she took Torre Jeppe on her back, carried him home and sat him down on the bench beside the tailors. ",took,BEFORE," but Torre Jeppe moved after them, and looked at them with his big eyes until they nearly lost their reason. ",lost,8,10,1,2
" but Torre Jeppe moved after them, and looked at them with his big eyes until they nearly lost their reason. ",lost,BEFORE,In their terror they begged the girl in the name of God to deliver them from the specter. ,deliver,10,11,2,1
In their terror they begged the girl in the name of God to deliver them from the specter. ,deliver,BEFORE,They would gladly give her another dress if she would only carry the dead man away again. ,carry,11,12,1,3
They would gladly give her another dress if she would only carry the dead man away again. ,carry,BEFORE,"They had no need to tell her twice, for she took Torre Jeppe on her back, and dragged him away again. ",took,12,13,3,2
"They had no need to tell her twice, for she took Torre Jeppe on her back, and dragged him away again. ",took,BEFORE,"But when she tried to set him down in the place where she had found him, he did not want to let her go; ",let,13,14,2,6
"But when she tried to set him down in the place where she had found him, he did not want to let her go; ",let,AFTER, but clasped his arms firmly about her neck. ,clasped,14,15,6,0
 but clasped his arms firmly about her neck. ,clasped,BEFORE,"In vain she said to him several times: ""Torre Jeppe, let me go!"" ",let,15,16,0,1
"In vain she said to him several times: ""Torre Jeppe, let me go!"" ",let,BEFORE,"At last he said: ""I will not let you go until you promise me that you will go this very night to the brook and ask three times: 'Anna Perstochter, do you forgive Torre Jeppe?'"" ",forgive,16,17,1,9
"At last he said: ""I will not let you go until you promise me that you will go this very night to the brook and ask three times: 'Anna Perstochter, do you forgive Torre Jeppe?'"" ",forgive,BEFORE,"The girl promised to do as he said, and he at once released her. ",promised,17,18,9,0
"The girl promised to do as he said, and he at once released her. ",promised,BEFORE," but she went there and asked three times in a loud voice, as she had promised: ""Anna Perstochter, do you forgive Torre Jeppe?"" ",forgive,18,20,0,5
" but she went there and asked three times in a loud voice, as she had promised: ""Anna Perstochter, do you forgive Torre Jeppe?"" ",forgive,BEFORE,"And when she had called the third time a woman's voice replied from out of the water: ""If God has forgiven him, then I, too, forgive him!"" ",forgive,20,21,5,5
"And when she had called the third time a woman's voice replied from out of the water: ""If God has forgiven him, then I, too, forgive him!"" ",forgive,BEFORE,"When the girl came back to the church Torre Jeppe asked eagerly: ""What did she say?"" ",asked,21,22,5,1
"When the girl came back to the church Torre Jeppe asked eagerly: ""What did she say?"" ",asked,BEFORE,"""Well, if God has forgiven you, then she, too, will forgive you!"" ",forgive,22,23,1,3
"""Well, if God has forgiven you, then she, too, will forgive you!"" ",forgive,BEFORE,"Then Torre Jeppe thanked her and said: ""Come back again before sunrise, and you shall receive your reward for the service you have done me."" ",receive,23,24,3,4
"Then Torre Jeppe thanked her and said: ""Come back again before sunrise, and you shall receive your reward for the service you have done me."" ",receive,AFTER,"The girl went back at sunrise, and in the place where the phantom had been sitting she found a bushel of silver coin. ",sitting,24,25,4,3
"The girl went back at sunrise, and in the place where the phantom had been sitting she found a bushel of silver coin. ",sitting,BEFORE,In addition she received the two dresses promised her by the tailors. ,promised,25,26,3,1
In addition she received the two dresses promised her by the tailors. ,promised,BEFORE,But Torre Jeppe was never seen again.,seen,26,27,1,1
