sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,0,sat,27,30,27,30,4.0,0.0,12.0,0.0,12.0,,,,,,,,,,verb.motion,1,True
3,3,asked,59,64,266,271,6.0,54.0,58.0,261.0,265.0,"6,0,10",65.0,113.0,272.0,320.0,,,,,verb.communication,1,True
4,1,trust,10,15,409,414,10.0,0.0,3.0,399.0,402.0,10,16.0,23.0,415.0,422.0,,,,,verb.cognition,1,True
5,1,give,15,19,463,467,6.0,5.0,9.0,453.0,457.0,10,20.0,23.0,468.0,471.0,,,,,verb.possession,1,True
6,6,dare,87,91,602,606,14.0,72.0,80.0,587.0,595.0,,92.0,106.0,607.0,621.0,,,,,verb.social,1,True
7,0,took,8,12,631,635,10.0,4.0,7.0,627.0,630.0,13,13.0,24.0,636.0,647.0,25.0,38.0,648.0,661.0,verb.cognition,1,True
8,1,took,33,37,712,716,10.0,29.0,32.0,708.0,711.0,0,38.0,49.0,717.0,728.0,50.0,61.0,729.0,740.0,verb.contact,1,True
10,2,lost,90,94,923,927,6.0,78.0,82.0,911.0,915.0,6,95.0,107.0,928.0,940.0,,,,,verb.possession,1,True
11,1,deliver,59,66,1001,1008,14.0,28.0,36.0,970.0,978.0,"5,6",67.0,71.0,1009.0,1013.0,,,,,verb.contact,1,True
12,3,carry,59,64,1091,1096,14.0,44.0,47.0,1076.0,1079.0,21,65.0,77.0,1097.0,1109.0,78.0,88.0,1110.0,1120.0,verb.contact,1,True
13,2,took,44,48,1166,1170,14.0,40.0,43.0,1162.0,1165.0,0,49.0,60.0,1171.0,1182.0,61.0,72.0,1183.0,1194.0,verb.possession,1,True
14,6,let,92,95,1316,1319,0.0,73.0,75.0,1297.0,1299.0,14,96.0,102.0,1320.0,1326.0,,,,,verb.social,1,True
15,0,clasped,5,12,1332,1339,,,,,,"0,14",13.0,21.0,1340.0,1348.0,22.0,28.0,,,verb.contact,1,True
16,1,let,53,56,1425,1428,,,,,,14,57.0,62.0,1429.0,1434.0,,,,,verb.social,1,True
17,9,forgive,154,161,1591,1598,14.0,150.0,153.0,1587.0,1590.0,0,162.0,173.0,1599.0,1610.0,,,,,verb.communication,1,True
18,0,promised,9,17,1623,1631,14.0,0.0,8.0,1614.0,1622.0,0,18.0,34.0,1632.0,1648.0,,,,,verb.communication,1,True
20,5,forgive,106,113,1815,1822,0.0,102.0,105.0,1811.0,1814.0,0,114.0,125.0,1823.0,1834.0,,,,,verb.communication,1,True
21,5,forgive,125,132,1962,1969,25.0,117.0,118.0,1954.0,1955.0,0,133.0,136.0,1970.0,1973.0,,,,,verb.communication,1,True
22,1,asked,50,55,2026,2031,0.0,38.0,49.0,2014.0,2025.0,25,66.0,82.0,2042.0,2058.0,,,,,verb.communication,1,True
23,3,forgive,52,59,2113,2120,25.0,37.0,40.0,2098.0,2101.0,14,60.0,63.0,2121.0,2124.0,,,,,verb.communication,1,True
24,4,receive,86,93,2213,2220,14.0,76.0,79.0,2203.0,2206.0,"0,14",94.0,138.0,2221.0,2265.0,,,,,verb.possession,1,True
25,3,sitting,75,82,2343,2350,29.0,38.0,47.0,2306.0,2315.0,,,,,,,,,,verb.contact,1,True
26,1,promised,41,49,2427,2435,,,,,,14,50.0,53.0,2436.0,2439.0,54.0,68.0,,,verb.possession,1,True
27,1,seen,26,30,2482,2486,0.0,4.0,15.0,2460.0,2471.0,,,,,,,,,,verb.perception,1,True
