sentence_id,event_id,temporal_rank
0,0,0
3,1,1
3,11,2
3,3,3
3,9,4
4,1,5
5,1,6
6,4,7
6,2,8
6,6,9
7,0,10
7,1,11
8,0,12
8,1,13
8,2,14
8,3,15
10,0,16
10,1,17
10,2,18
11,0,19
11,1,20
12,3,21
12,1,22
13,0,23
13,2,24
13,1,25
13,3,26
14,0,27
14,3,28
14,1,29
14,6,30
14,7,31
15,0,32
16,0,33
16,1,34
16,2,35
17,0,36
17,2,37
17,3,38
17,4,39
17,6,40
17,9,41
17,7,42
18,0,43
18,2,44
18,1,45
18,3,46
20,0,47
20,3,48
20,1,49
20,5,50
21,1,51
21,4,52
21,2,53
21,5,54
23,1,55
22,3,56
22,1,57
24,0,58
23,3,59
24,1,60
25,3,61
24,6,62
24,4,63
25,4,64
26,1,65
26,0,66
27,1,67
