sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
2,0,tried,verb.social,3,1
2,1,manage,verb.social,3,1
7,2,noticed,verb.perception,5,8
11,0,dressed,verb.body,10,5
11,1,put,verb.contact,10,5
11,3,put,verb.contact,10,5
12,1,knew,verb.cognition,5,12
15,0,made,verb.motion,8,8
15,4,gave,verb.possession,8,16
15,5,followed,verb.motion,16,8
16,2,took,verb.contact,17,17
16,2,took,verb.contact,18,17
18,2,saw,verb.perception,17,22
19,2,discharged,verb.competition,17,17
28,1,ask,verb.communication,17,5
31,2,said,verb.communication,17,17
33,0,came,verb.change,5,5
34,1,told,verb.communication,5,5
34,1,told,verb.communication,5,30
34,1,told,verb.communication,5,8
34,1,told,verb.communication,5,31
34,3,believed,verb.cognition,5,5
34,3,believed,verb.cognition,5,8
35,0,took,verb.motion,17,5
35,4,clad,verb.body,5,34
