sentence_id,event_id,temporal_rank
2,0,0
1,0,1
8,1,2
7,4,3
6,1,4
8,5,5
8,6,6
8,7,7
9,0,8
9,3,9
10,0,10
10,1,11
10,2,12
11,4,13
10,3,14
12,3,15
15,1,16
14,1,17
15,3,18
16,0,19
16,3,20
16,4,21
17,0,22
18,1,23
20,1,24
20,0,25
19,0,26
21,1,27
21,0,28
22,0,29
22,1,30
23,0,31
25,5,32
27,0,33
27,2,34
29,2,35
28,1,36
29,3,37
30,2,38
30,3,39
30,4,40
31,1,41
30,5,42
31,2,43
31,4,44
31,5,45
31,6,46
36,0,47
34,5,48
34,1,49
36,1,50
36,6,51
38,3,52
38,2,53
38,4,54
41,0,55
39,0,56
41,1,57
42,1,58
43,0,59
47,3,60
46,0,61
47,7,62
49,4,63
49,1,64
50,0,65
51,5,66
51,1,67
52,1,68
52,2,69
56,0,70
55,2,71
53,1,72
56,1,73
56,2,74
