sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label
2,2,saw,46,49,192,195,8,41.0,45.0,187.0,191.0,,50.0,131.0,196.0,277.0,,,,,verb.perception,1
3,0,kept,14,18,293,297,9,0.0,13.0,279.0,292.0,10,19.0,28.0,298.0,307.0,29.0,96.0,308.0,375.0,verb.consumption,1
3,1,spinning,68,76,347,355,9,0.0,13.0,279.0,292.0,,77.0,81.0,356.0,360.0,82.0,96.0,361.0,375.0,verb.contact,1
3,4,given,141,146,420,425,,129.0,136.0,408.0,415.0,10,147.0,151.0,426.0,430.0,,,,,verb.possession,1
3,5,had,161,164,440,443,10,156.0,160.0,435.0,439.0,,165.0,172.0,444.0,451.0,,,,,verb.possession,1
5,0,went,11,15,615,619,9,7.0,10.0,611.0,614.0,,,,,,,,,,verb.motion,1
5,2,returned,74,82,678,686,9,16.0,19.0,620.0,623.0,,,,,,,,,,verb.motion,1
5,3,saw,121,124,725,728,10,105.0,114.0,709.0,718.0,9,125.0,155.0,729.0,759.0,,,,,verb.perception,1
5,6,tell,175,179,779,783,9,171.0,174.0,775.0,778.0,10,180.0,184.0,784.0,788.0,,,,,verb.communication,1
6,2,gave,89,93,937,941,9,85.0,88.0,933.0,936.0,15,94.0,110.0,942.0,958.0,111.0,316.0,959.0,1164.0,verb.communication,1
6,4,let,166,169,1014,1017,,,,,,182,170.0,186.0,1018.0,1034.0,,,,,verb.social,1
6,8,lose,255,259,1103,1107,182,238.0,249.0,1086.0,1097.0,,260.0,274.0,1108.0,1122.0,,,,,verb.possession,1
7,0,laughed,5,12,1172,1179,10,0.0,4.0,1167.0,1171.0,,13.0,41.0,1180.0,1208.0,43.0,154.0,1210.0,1321.0,verb.body,1
7,2,saying,43,49,1210,1216,10,0.0,4.0,1167.0,1171.0,"16,183,10",50.0,63.0,1217.0,1230.0,,,,,verb.communication,1
7,4,lose,90,94,1257,1261,10,74.0,89.0,1241.0,1256.0,,95.0,109.0,1262.0,1276.0,,,,,verb.possession,1
7,6,speaking,137,145,1304,1312,,,,,,183,146.0,154.0,1313.0,1321.0,,,,,verb.communication,1
9,0,seeking,9,16,1477,1484,,,,,,18,17.0,24.0,1485.0,1492.0,,,,,verb.possession,1
9,1,flung,29,34,1497,1502,18,26.0,28.0,1494.0,1496.0,18,35.0,42.0,1503.0,1510.0,62.0,97.0,1530.0,1565.0,verb.contact,1
9,2,leaving,62,69,1530,1537,18,26.0,28.0,1494.0,1496.0,18,70.0,79.0,1538.0,1547.0,,,,,verb.change,1
9,3,browse,83,89,1551,1557,18,70.0,73.0,1538.0,1541.0,,,,,,,,,,verb.perception,1
10,2,awoke,24,29,1608,1613,18,21.0,23.0,1605.0,1607.0,,,,,,,,,,verb.body,1
10,3,began,34,39,1618,1623,,,,,,18,40.0,91.0,1624.0,1675.0,,,,,verb.change,1
10,5,find,61,65,1645,1649,18,21.0,23.0,1605.0,1607.0,18,66.0,73.0,1650.0,1657.0,74.0,91.0,1658.0,1675.0,verb.creation,1
11,0,perceived,11,20,1688,1697,18,8.0,10.0,1685.0,1687.0,18,21.0,66.0,1698.0,1743.0,,,,,verb.perception,1
11,1,followed,58,66,1735,1743,18,21.0,39.0,1698.0,1716.0,,,,,,,,,,verb.motion,1
11,2,found,71,76,1748,1753,18,47.0,49.0,1724.0,1726.0,18,77.0,107.0,1754.0,1784.0,,,,,verb.cognition,1
12,1,sitting,22,29,1808,1815,23,0.0,11.0,1786.0,1797.0,23,30.0,67.0,1816.0,1853.0,,,,,verb.contact,1
12,2,saw,69,72,1855,1858,23,0.0,67.0,1786.0,1853.0,18,73.0,88.0,1859.0,1874.0,,,,,verb.perception,1
12,3,approaching,77,88,1863,1874,18,73.0,76.0,1859.0,1862.0,,,,,,,,,,verb.motion,1
12,5,remembered,136,146,1922,1932,25,131.0,135.0,1917.0,1921.0,9,147.0,170.0,1933.0,1956.0,,,,,verb.cognition,1
13,0,said,18,22,1975,1979,6,5.0,17.0,1962.0,1974.0,"185,18,6",25.0,65.0,1982.0,2022.0,,,,,verb.communication,1
13,2,seen,45,49,2002,2006,6,43.0,44.0,2000.0,2001.0,"185,18",50.0,65.0,2007.0,2022.0,,,,,verb.perception,1
