sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
0,1,had,verb.possession,7,8
0,1,had,verb.possession,6,8
1,2,hunt,verb.competition,9,10
1,2,hunt,verb.competition,9,6
2,4,saw,verb.perception,7,14
4,0,thought,verb.cognition,7,200
4,0,thought,verb.cognition,7,7
4,2,say,verb.communication,7,200
5,2,taking,verb.contact,7,17
5,2,taking,verb.contact,7,18
5,2,taking,verb.contact,7,7
5,3,led,verb.motion,7,14
6,2,said,verb.communication,7,202
6,2,said,verb.communication,7,201
13,0,thought,verb.cognition,20,14
13,1,please,verb.emotion,20,14
14,1,saying,verb.communication,14,14
16,2,see,verb.perception,23,200
17,1,brought,verb.contact,23,26
17,1,brought,verb.contact,23,23
18,1,told,verb.communication,23,23
18,1,told,verb.communication,23,7
18,1,told,verb.communication,23,1
18,1,told,verb.communication,23,30
18,1,told,verb.communication,23,2
18,4,call,verb.communication,1,2
19,1,dare,verb.social,23,23
19,2,speak,verb.communication,23,23
19,6,finished,verb.change,23,23
20,0,told,verb.communication,3,32
20,0,told,verb.communication,3,3
22,3,make,verb.change,3,3
23,0,had,verb.perception,23,3
23,0,had,verb.perception,7,3
25,2,attempted,verb.social,200,36
28,1,spoke,verb.communication,3,36
29,2,addressed,verb.communication,3,41
30,1,sojourned,verb.motion,3,36
30,2,informed,verb.communication,3,23
30,2,informed,verb.communication,3,3
30,5,take,verb.social,3,3
30,8,give,verb.possession,3,3
31,0,presented,verb.possession,3,3
31,1,thanking,verb.communication,3,23
31,1,thanking,verb.communication,3,36
31,1,thanking,verb.communication,3,7
31,1,thanking,verb.communication,3,3
31,3,saying,verb.communication,46,46
31,4,left,verb.motion,46,36
32,4,looked,verb.perception,36,46
35,2,perceived,verb.perception,7,54
35,2,perceived,verb.perception,7,3
36,1,had,verb.perception,7,56
36,2,asked,verb.communication,7,3
39,1,notice,verb.perception,3,3
39,1,notice,verb.perception,3,20
40,0,cast,verb.creation,3,20
40,2,bore,verb.emotion,3,20
43,2,saw,verb.perception,23,23
43,2,saw,verb.perception,23,64
44,0,pointed,verb.communication,65,9
44,0,pointed,verb.communication,65,7
44,0,pointed,verb.communication,65,46
44,4,found,verb.perception,9,9
44,4,found,verb.perception,9,7
45,0,blackened,verb.change,23,23
45,1,vowed,verb.communication,23,23
47,0,left,verb.cognition,23,23
47,0,left,verb.cognition,23,72
47,0,left,verb.cognition,23,74
47,5,striving,verb.social,23,23
48,3,shot,verb.contact,23,64
48,3,shot,verb.contact,64,64
49,2,trying,verb.social,41,41
49,4,puzzled,verb.emotion,41,41
49,6,shot,verb.social,41,41
50,0,made,verb.change,78,41
50,0,made,verb.change,41,41
53,3,espy,verb.contact,41,41
53,3,espy,verb.contact,41,80
53,3,espy,verb.contact,41,3
53,3,espy,verb.contact,41,78
53,5,given,verb.possession,3,78
53,5,given,verb.possession,3,41
54,2,secured,verb.contact,41,41
55,3,beheld,verb.perception,86,41
58,0,said,verb.communication,86,205
58,0,said,verb.communication,86,86
59,0,urged,verb.communication,86,41
61,0,said,verb.communication,90,41
61,0,said,verb.communication,90,206
63,2,tell,verb.communication,41,206
66,0,asked,verb.communication,64,78
66,0,asked,verb.communication,64,64
66,1,make,verb.creation,78,64
66,1,make,verb.creation,64,64
67,1,questioned,verb.communication,64,64
68,0,pleased,verb.emotion,9,9
68,0,pleased,verb.emotion,9,64
68,1,made,verb.creation,9,64
68,1,made,verb.creation,64,64
69,3,invited,verb.communication,41,102
69,3,invited,verb.communication,41,41
72,0,said,verb.communication,105,105
72,0,said,verb.communication,105,41
72,0,said,verb.communication,105,206
74,0,took,verb.motion,107,107
76,0,said,verb.communication,23,41
76,0,said,verb.communication,201,41
77,0,answered,verb.communication,41,41
79,0,said,verb.communication,41,209
80,2,called,verb.communication,41,113
80,2,called,verb.communication,41,41
82,6,heard,verb.perception,23,23
82,6,heard,verb.perception,23,64
84,1,found,verb.perception,23,23
84,1,found,verb.perception,23,64
85,0,said,verb.communication,23,201
87,0,had,verb.possession,41,41
88,0,answered,verb.communication,41,209
88,0,answered,verb.communication,41,41
88,3,drag,verb.contact,41,41
89,2,shown,verb.communication,23,23
89,2,shown,verb.communication,23,78
89,2,shown,verb.communication,23,64
89,2,shown,verb.communication,64,23
89,2,shown,verb.communication,64,78
89,2,shown,verb.communication,64,64
89,3,played,verb.creation,23,23
89,3,played,verb.creation,23,78
89,3,played,verb.creation,23,64
90,0,renewed,verb.communication,41,78
90,0,renewed,verb.communication,41,41
90,3,see,verb.cognition,41,78
91,0,thought,verb.cognition,23,23
91,0,thought,verb.cognition,23,64
91,2,humored,verb.emotion,23,41
