sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label
0,2,studying,35,43,35,43,8,15.0,26.0,15.0,26.0,9,44.0,56.0,44.0,56.0,,,,,verb.cognition,1
1,0,wanted,3,9,61,67,8,0.0,2.0,58.0,60.0,4,10.0,70.0,68.0,128.0,,,,,verb.emotion,1
1,2,marry,42,47,100,105,8,0.0,2.0,58.0,60.0,,,,,,,,,,verb.social,1
2,0,write,3,8,133,138,,,,,,8,9.0,14.0,139.0,144.0,,,,,verb.creation,1
2,1,knew,19,23,149,153,8,16.0,18.0,146.0,148.0,,,,,,,,,,verb.cognition,1
3,1,invent,17,23,221,227,8,4.0,6.0,208.0,210.0,,24.0,32.0,228.0,236.0,,,,,verb.creation,1
4,6,came,66,70,304,308,8,63.0,65.0,301.0,303.0,,71.0,85.0,309.0,323.0,,,,,verb.motion,1
6,0,said,0,4,424,428,,,,,,8,5.0,7.0,429.0,431.0,,,,,verb.communication,1
7,1,become,35,41,468,474,45,27.0,31.0,460.0,464.0,,42.0,50.0,475.0,483.0,,,,,verb.change,1
9,3,write,45,50,654,659,8,43.0,44.0,652.0,653.0,,51.0,57.0,660.0,666.0,,,,,verb.creation,1
10,0,studied,8,15,683,690,8,5.0,7.0,680.0,682.0,11,49.0,65.0,724.0,740.0,,,,,verb.cognition,1
10,1,became,24,30,699,705,8,21.0,23.0,696.0,698.0,,31.0,47.0,706.0,722.0,,,,,verb.change,1
11,1,help,16,20,758,762,12,0.0,9.0,742.0,751.0,8,21.0,24.0,763.0,766.0,,,,,verb.social,1
12,2,opened,73,79,875,881,13,69.0,72.0,871.0,874.0,15,80.0,108.0,882.0,910.0,,,,,verb.social,1
13,1,do,14,16,926,928,13,4.0,7.0,916.0,919.0,,17.0,42.0,929.0,954.0,,,,,verb.social,1
13,2,unlock,27,33,939,945,13,4.0,7.0,916.0,919.0,,34.0,42.0,946.0,954.0,,,,,verb.contact,1
14,2,pays,65,69,1021,1025,,19.0,29.0,975.0,985.0,16,70.0,73.0,1026.0,1029.0,,,,,verb.possession,1
15,1,go,8,10,1052,1054,18,1.0,2.0,1045.0,1046.0,13,11.0,17.0,1055.0,1061.0,,,,,verb.motion,1
15,2,said,20,24,1064,1068,"13,18",1.0,17.0,1045.0,1061.0,18,25.0,38.0,1069.0,1082.0,,,,,verb.communication,1
20,1,see,54,57,1541,1544,18,8.0,45.0,1495.0,1532.0,,,,,,,,,,verb.perception,1
20,2,thought,74,81,1561,1568,18,1.0,71.0,1488.0,1558.0,18,82.0,95.0,1569.0,1582.0,,,,,verb.communication,1
21,1,found,53,58,1637,1642,18,29.0,44.0,1613.0,1628.0,13,59.0,88.0,1643.0,1672.0,,,,,verb.possession,1
23,0,said,0,4,1693,1697,,,,,,13,5.0,8.0,1698.0,1701.0,,,,,verb.communication,1
25,0,know,2,6,1729,1733,13,0.0,1.0,1727.0,1728.0,18,7.0,26.0,1734.0,1753.0,,,,,verb.cognition,1
25,1,come,15,19,1742,1746,18,11.0,14.0,1738.0,1741.0,,,,,,,,,,verb.motion,1
26,1,invent,11,17,1766,1772,18,0.0,3.0,1755.0,1758.0,,18.0,26.0,1773.0,1781.0,,,,,verb.creation,1
26,2,want,40,44,1795,1799,18,36.0,39.0,1791.0,1794.0,4,45.0,67.0,1800.0,1822.0,,,,,verb.emotion,1
