sentence_id,event_id,temporal_rank
0,2,0
1,0,1
2,0,2
4,6,3
3,1,4
7,1,5
6,0,6
10,0,7
9,3,8
12,2,9
11,1,10
14,2,11
13,2,12
15,2,13
21,1,14
20,2,15
26,1,16
25,1,17
23,0,18
27,3,19
32,0,20
29,0,21
33,5,22
35,3,23
36,1,24
38,3,25
37,2,26
45,3,27
40,0,28
46,1,29
48,0,30
49,1,31
55,2,32
58,2,33
57,2,34
60,0,35
61,1,36
63,2,37
71,1,38
64,0,39
72,1,40
73,2,41
74,1,42
75,1,43
82,1,44
83,0,45
84,0,46
85,4,47
86,2,48
87,1,49
88,4,50
89,2,51
91,0,52
94,2,53
93,1,54
95,1,55
96,0,56
97,0,57
99,4,58
100,1,59
101,0,60
104,0,61
103,0,62
