coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
5,two couples,two couples,0,134,145,0
6,the men,the men,79,65,72,0
6,the men,their,79,116,121,0
6,the men,you,80,166,169,0
6,the men,they,81,5,9,0
6,the men,they,84,6,10,0
6,the men,they,82,5,9,0
6,the men,The men,1,0,7,0
7,the same master,the same master,1,26,41,0
8,good friends,good friends,1,54,66,0
9,the wives,the wives,1,72,81,0
9,the wives,the wives,86,8,17,0
9,the wives,they,86,38,42,0
9,the wives,they,1,123,127,0
9,the wives,her,86,73,76,1
10,the two,the two,1,164,171,0
10,the two,the two,2,158,165,0
11,the stupidest husband,the stupidest husband,1,176,197,0
12,most women,most women,2,7,17,0
12,most women,them,2,59,63,0
13,anyone else,anyone else,2,100,111,0
14,each,her,2,126,129,1
14,each,each,2,113,117,0
15,her husband,her husband,22,32,43,0
15,her husband,he,15,17,19,0
15,her husband,his,15,31,34,0
15,her husband,he,15,94,96,0
15,her husband,YOU,16,1,4,0
15,her husband,you,16,77,80,0
15,her husband,you,16,186,189,0
15,her husband,I,18,32,33,0
15,her husband,he,18,0,2,0
15,her husband,Her husband,26,0,11,0
15,her husband,me,19,20,22,0
15,her husband,I,20,8,9,0
15,her husband,her husband,58,87,98,0
15,her husband,her husband,39,11,22,0
15,her husband,he,27,10,12,0
15,her husband,me,17,6,8,0
15,her husband,her husband,14,37,48,0
15,her husband,I,19,23,24,0
15,her husband,her husband,86,73,84,0
15,her husband,her husband,2,126,137,0
18,her neighbour,You,3,1,4,0
18,her neighbour,her neighbour,4,12,25,0
17,one,one,4,0,3,0
17,one,her,4,12,15,1
17,one,I,5,56,57,0
82,the baby,her,5,110,113,0
82,the baby,her,5,83,86,0
82,the baby,the baby,5,12,20,0
19,the other,I,9,145,146,0
19,the other,I,10,39,40,0
19,the other,I,9,20,21,0
19,the other,my,10,58,60,1
19,the other,I,9,9,10,0
19,the other,MY,8,67,69,1
19,the other,the other,7,42,51,0
19,the other,I,10,83,84,0
19,the other,my,10,18,20,0
19,the other,I,10,95,96,0
19,the other,the other,86,103,112,0
19,the other,I,11,49,50,0
19,the other,I,8,35,36,0
19,the other,I,9,167,168,0
85,MY husband,MY husband,8,67,77,0
88,my sick mother,my sick mother,10,58,72,0
88,my sick mother,her,10,137,140,0
90,someone,someone,11,137,144,0
20,the first,you,19,3,6,0
20,the first,I,12,6,7,0
20,the first,the first,12,41,50,0
20,the first,she,14,65,68,0
20,the first,I,16,64,65,0
20,the first,she,16,54,57,0
20,the first,you,15,142,145,0
20,the first,she,14,24,27,0
20,the first,you,15,117,120,0
20,the first,she,15,67,70,0
20,the first,her,15,55,58,0
20,the first,her,14,37,40,1
20,the first,her,14,77,80,0
20,the first,her,14,161,164,0
23,the man,I,61,1,2,0
23,the man,I,62,15,16,0
23,the man,the man,62,61,68,0
23,the man,you,50,62,65,0
23,the man,you,64,87,90,0
23,the man,yourself,65,20,28,0
23,the man,his,66,46,49,1
23,the man,him,66,82,85,0
23,the man,he,66,117,119,0
23,the man,he,62,102,104,0
23,the man,the man,66,13,20,0
23,the man,I,59,1,2,0
23,the man,me,60,21,23,0
23,the man,I,59,55,56,0
23,the man,you,50,4,7,0
23,the man,he,58,139,141,0
23,the man,me,57,33,35,0
23,the man,I,56,2,3,0
23,the man,he,55,28,30,0
23,the man,you,52,8,11,0
23,the man,him,50,110,113,0
23,the man,him,49,60,63,0
23,the man,he,66,126,128,0
23,the man,his,49,73,76,0
23,the man,him,49,34,37,0
23,the man,he,66,149,151,0
23,the man,You,73,1,4,0
23,the man,you,67,137,140,0
23,the man,you,85,21,24,0
23,the man,yourself,85,29,37,0
23,the man,you,83,6,9,0
23,the man,the man,82,75,82,0
23,the man,his,49,17,20,1
23,the man,him,79,56,59,0
23,the man,him,77,187,190,0
23,the man,him,77,88,91,0
23,the man,his,76,51,54,0
23,the man,his,76,5,8,1
23,the man,his,75,114,117,0
23,the man,him,75,106,109,0
23,the man,he,67,56,58,0
23,the man,The man,75,0,7,0
23,the man,his,73,37,40,1
23,the man,I,72,16,17,0
23,the man,I,72,8,9,0
23,the man,I,71,11,12,0
23,the man,he,71,0,2,0
23,the man,his,69,133,136,0
23,the man,he,69,113,115,0
23,the man,he,69,95,97,0
23,the man,he,69,82,84,0
23,the man,his,69,56,59,0
23,the man,the man,69,10,17,0
23,the man,your,68,30,34,0
23,the man,you,74,49,52,0
23,the man,he,49,5,7,0
23,the man,I,48,1,2,0
23,the man,me,48,43,45,0
23,the man,the man,14,175,182,0
23,the man,the man,29,71,78,0
23,the man,he,48,48,50,0
23,the man,him,30,13,16,0
23,the man,his,30,26,29,0
23,the man,the man,31,39,46,0
23,the man,he,31,61,63,0
23,the man,you,33,2,5,0
23,the man,you,33,57,60,0
