clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
The hare/the hare,21,21,129,150,The hare,male,1.0,primary
The crocodiles/the crocodiles,51,6,14,20,The crocodiles,group/nonbinary,1.0,tertiary
the crocodile/The crocodile,22,7,9,16,the crocodile,male,1.0,tertiary
the man,84,5,10,15,the man,male,1.0,tertiary
The hare/the hare--his friend,87,1,10,11,The hare's friend,male,1.0,tertiary
Mr. Crocodile,5,2,8,10,Mr. Crocodile,unknown,0.0,tertiary
the Princess,157,3,7,10,the Princess,female,1.0,tertiary
Okuni - nushi - no - Mikoto,8,4,5,9,Okuni - nushi - no - Mikoto,unknown,0.0,tertiary
the sorrowful hare,96,1,7,8,the sorrowful hare,unknown,0.0,tertiary
The hare/the hare--Those beings who passed here before me,148,1,5,6,The hare's beings who passed here before me,group/nonbinary,1.0,tertiary
the whole company of crocodiles,43,1,4,5,the whole company of crocodiles,unknown,0.0,tertiary
The crocodiles/the crocodiles--some of them,56,1,4,5,The crocodiles's of them,group/nonbinary,1.0,tertiary
one of these young men,70,1,3,4,one of these young men,male,1.0,tertiary
the poor hare,58,2,2,4,the poor hare,male,1.0,tertiary
Mr. Hare,6,2,1,3,Mr. Hare,unknown,0.0,tertiary
another King 's son,77,1,2,3,another King 's son,male,1.0,tertiary
"a number of men , who looked like King 's sons",66,1,2,3,"a number of men , who looked like King 's sons",male,1.0,tertiary
The hare/the hare--your brothers,156,2,1,3,The hare's brothers,male,1.0,tertiary
a beautiful Princess called Yakami who lives in this province of Inaba,150,1,2,3,a beautiful Princess called Yakami who lives in this province of Inaba,female,1.0,tertiary
the kind brother,117,1,2,3,the kind brother,male,1.0,tertiary
The White Hare of Inaba/the white hare of Inaba,63,2,0,2,The White Hare of Inaba,unknown,0.0,tertiary
his brothers,110,1,1,2,his brothers,male,1.0,tertiary
a god,107,2,0,2,a god,unknown,0.0,tertiary
the two,31,1,1,2,the two,unknown,0.0,tertiary
this man,81,1,1,2,this man,male,1.0,tertiary
the crafty hare,37,1,1,2,the crafty hare,unknown,0.0,tertiary
Yakami,9,1,0,1,Yakami,unknown,0.0,tertiary
Okuni - nushi - no - Mikoto--that unkind fellow who sent me to bathe in the sea,153,1,0,1,Okuni - nushi - no - Mikoto's unkind fellow who sent me to bathe in the sea,unknown,0.0,tertiary
The hare/the hare--one of your brothers,155,1,0,1,The hare's of your brothers,male,1.0,tertiary
an attendant,152,1,0,1,an attendant,unknown,0.0,tertiary
Mr. Crocodile--your company,128,1,0,1,Mr. Crocodile's company,unknown,0.0,tertiary
the bride of any of them,159,1,0,1,the bride of any of them,unknown,0.0,tertiary
The hare's brothers--any of them,160,1,0,1,The hare's brothers's of them,unknown,0.0,tertiary
The hare/the hare--my brothers,149,1,0,1,The hare's brothers,male,1.0,tertiary
the little animal goodby,108,1,0,1,the little animal goodby,unknown,0.0,tertiary
the bride of any of the brothers,114,1,0,1,the bride of any of the brothers,male,1.0,tertiary
any of the brothers,115,1,0,1,any of the brothers,male,1.0,tertiary
the brothers,116,1,0,1,the brothers,male,1.0,tertiary
Okuni - nushi - no - Mikoto,119,1,0,1,Okuni - nushi - no - Mikoto,unknown,0.0,tertiary
The hare/the hare--your bride,161,1,0,1,The hare's bride,unknown,0.0,tertiary
The hare's friend--his kind friend,91,1,0,1,The hare's friend's kind friend,unknown,0.0,tertiary
a fairy,147,1,0,1,a fairy,unknown,0.0,tertiary
these young men,71,1,0,1,these young men,male,1.0,tertiary
"The hare , who meant to play a trick on the crocodile",35,1,0,1,"The hare , who meant to play a trick on the crocodile",unknown,0.0,tertiary
the crocodile/The crocodile--my company,139,1,0,1,the crocodile's company,unknown,0.0,tertiary
the crocodile/The crocodile--my friends,140,1,0,1,the crocodile's friends,unknown,0.0,tertiary
the last one,52,1,0,1,the last one,unknown,0.0,tertiary
any one seeing the poor little creature,64,1,0,1,any one seeing the poor little creature,unknown,0.0,tertiary
King,7,1,0,1,King,male,1.0,tertiary
King 's sons,67,1,0,1,King 's sons,male,1.0,tertiary
all the young men,73,1,0,1,all the young men,male,1.0,tertiary
no King 's son,146,1,0,1,no King 's son,male,1.0,tertiary
another King,76,1,0,1,another King,male,1.0,tertiary
the poor hare--the man who now spoke to him,80,1,0,1,the poor hare's man who now spoke to him,male,1.0,tertiary
The little animal,86,1,0,1,The little animal,unknown,0.0,tertiary
The hare's friend--a party of men who looked very like his kind friend,90,1,0,1,The hare's friend's party of men who looked very like his kind friend,male,1.0,tertiary
all the crocodiles who dwell in the sea you hares,133,1,0,1,all the crocodiles who dwell in the sea you hares,unknown,0.0,tertiary
"The hare/the hare--the young man who had so helped him , and kneeling down at his feet",102,1,0,1,"The hare's young man who had so helped him , and kneeling down at his feet",male,1.0,tertiary
no King,145,1,0,1,no King,male,1.0,tertiary
the people in some parts of Japan,120,1,0,1,the people in some parts of Japan,unknown,0.0,tertiary
