sentence_id,event_id,temporal_rank
8,0,0
9,2,1
10,1,2
10,2,3
13,0,4
11,2,5
14,6,6
13,1,7
15,0,8
16,2,9
16,0,10
19,4,11
19,1,12
20,1,13
20,2,14
21,1,15
21,2,16
23,1,17
22,0,18
23,2,19
24,2,20
24,0,21
26,1,22
25,1,23
30,4,24
30,2,25
30,6,26
31,0,27
31,1,28
32,2,29
33,2,30
32,4,31
33,3,32
33,4,33
33,6,34
33,5,35
34,0,36
34,3,37
42,1,38
40,2,39
40,0,40
43,0,41
43,1,42
44,0,43
45,1,44
44,1,45
46,0,46
46,1,47
47,0,48
48,3,49
48,5,50
49,2,51
49,6,52
51,1,53
51,2,54
51,3,55
51,4,56
52,1,57
52,0,58
53,1,59
55,1,60
56,2,61
56,0,62
56,3,63
56,4,64
56,6,65
56,9,66
57,0,67
57,1,68
58,0,69
59,1,70
59,2,71
59,4,72
60,2,73
60,3,74
60,6,75
60,4,76
62,2,77
64,6,78
63,1,79
65,2,80
65,6,81
68,0,82
68,3,83
69,1,84
69,3,85
69,2,86
69,5,87
70,1,88
70,2,89
70,5,90
72,0,91
72,2,92
72,1,93
73,2,94
73,1,95
74,1,96
73,4,97
75,2,98
75,1,99
77,3,100
77,1,101
78,1,102
78,0,103
78,3,104
79,1,105
79,2,106
79,3,107
79,4,108
79,6,109
79,7,110
80,1,111
81,0,112
81,1,113
81,4,114
81,2,115
82,3,116
82,0,117
82,4,118
82,6,119
83,0,120
83,1,121
85,2,122
84,0,123
83,2,124
86,0,125
86,1,126
87,3,127
87,1,128
88,3,129
88,1,130
88,8,131
88,9,132
88,10,133
89,3,134
89,0,135
90,5,136
90,4,137
90,1,138
91,0,139
91,1,140
91,2,141
91,4,142
91,5,143
92,1,144
91,6,145
92,6,146
92,3,147
92,9,148
92,7,149
93,0,150
93,3,151
93,1,152
93,5,153
94,0,154
94,1,155
94,3,156
94,4,157
95,1,158
95,2,159
96,2,160
96,3,161
98,1,162
99,0,163
99,2,164
99,3,165
100,3,166
101,0,167
102,0,168
102,2,169
103,3,170
103,2,171
104,3,172
104,1,173
106,3,174
106,9,175
106,5,176
106,7,177
107,1,178
109,1,179
108,0,180
112,2,181
110,2,182
112,5,183
112,6,184
114,1,185
114,0,186
113,2,187
112,7,188
115,1,189
117,3,190
117,2,191
117,1,192
118,2,193
118,3,194
118,5,195
120,3,196
120,2,197
119,1,198
121,0,199
120,6,200
121,3,201
121,4,202
122,1,203
122,0,204
123,4,205
124,0,206
124,1,207
126,1,208
124,3,209
124,2,210
126,3,211
127,0,212
127,1,213
