sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
1,1,had,29,32,183,186,4,26.0,28.0,180.0,182.0,,,,,verb.possession,0,subject,a poor Indian,1,17,18,male,1.0,tertiary
2,1,give,35,39,286,290,4,0.0,12.0,251.0,263.0,,,,,verb.possession,3,subject,a poor Indian,1,17,18,male,1.0,tertiary
2,1,give,35,39,286,290,10,0.0,12.0,251.0,263.0,,,,,verb.possession,3,subject,a poor Indian's children,1,0,1,unknown,0.0,tertiary
4,1,received,62,70,484,492,4,47.0,58.0,469.0,480.0,,,,,verb.possession,2,subject,a poor Indian,1,17,18,male,1.0,tertiary
5,0,stood,8,13,502,507,4,0.0,2.0,494.0,496.0,39.0,95.0,533.0,589.0,verb.contact,4,subject,a poor Indian,1,17,18,male,1.0,tertiary
5,1,bless,42,47,536,541,4,0.0,2.0,494.0,496.0,,,,,verb.communication,5,subject,a poor Indian,1,17,18,male,1.0,tertiary
6,5,repined,64,71,655,662,4,50.0,52.0,641.0,643.0,,,,,verb.communication,7,subject,a poor Indian,1,17,18,male,1.0,tertiary
7,3,arrived,85,92,818,825,13,57.0,71.0,790.0,804.0,111.0,148.0,844.0,881.0,verb.motion,8,subject,a poor Indian's eldest son,1,1,2,male,1.0,tertiary
7,3,arrived,85,92,818,825,4,57.0,71.0,790.0,804.0,111.0,148.0,844.0,881.0,verb.motion,8,subject,a poor Indian,1,17,18,male,1.0,tertiary
9,4,beloved,121,128,1090,1097,1,114.0,116.0,1083.0,1085.0,,,,,verb.emotion,9,subject,The brave Wunzh,27,145,172,male,1.0,primary
10,3,built,169,174,1288,1293,1,118.0,128.0,1237.0,1247.0,,,,,verb.creation,12,subject,The brave Wunzh,27,145,172,male,1.0,primary
10,3,built,169,174,1288,1293,16,118.0,128.0,1237.0,1247.0,,,,,verb.creation,12,subject,The brave Wunzh's father,8,2,10,male,1.0,tertiary
11,4,disturbed,80,89,1412,1421,1,64.0,66.0,1396.0,1398.0,,,,,verb.body,13,subject,The brave Wunzh,27,145,172,male,1.0,primary
12,1,sought,26,32,1472,1478,1,20.0,25.0,1466.0,1471.0,,,,,verb.social,15,subject,The brave Wunzh,27,145,172,male,1.0,primary
12,2,clear,36,41,1482,1487,1,20.0,25.0,1466.0,1471.0,,,,,verb.change,16,subject,The brave Wunzh,27,145,172,male,1.0,primary
13,1,store,14,19,1605,1610,1,5.0,7.0,1596.0,1598.0,29.0,63.0,1620.0,1654.0,verb.perception,18,subject,The brave Wunzh,27,145,172,male,1.0,primary
13,2,amused,91,97,1682,1688,1,88.0,90.0,1679.0,1681.0,154.0,192.0,1745.0,1783.0,verb.consumption,17,subject,The brave Wunzh,27,145,172,male,1.0,primary
13,4,examining,154,163,1745,1754,1,88.0,90.0,1679.0,1681.0,,,,,verb.perception,19,subject,The brave Wunzh,27,145,172,male,1.0,primary
14,0,rambled,6,13,1791,1798,1,3.0,5.0,1788.0,1790.0,,,,,verb.motion,20,subject,The brave Wunzh,27,145,172,male,1.0,primary
14,1,felt,57,61,1842,1846,1,54.0,56.0,1839.0,1841.0,,,,,verb.emotion,21,subject,The brave Wunzh,27,145,172,male,1.0,primary
15,0,wondered,3,11,1943,1951,1,0.0,2.0,1940.0,1942.0,,,,,verb.communication,23,subject,The brave Wunzh,27,145,172,male,1.0,primary
16,1,become,13,19,2074,2080,1,6.0,8.0,2067.0,2069.0,,,,,verb.change,22,subject,The brave Wunzh,27,145,172,male,1.0,primary
16,3,confined,48,56,2109,2117,1,6.0,8.0,2067.0,2069.0,65.0,73.0,2126.0,2134.0,verb.contact,24,subject,The brave Wunzh,27,145,172,male,1.0,primary
16,4,recalled,91,99,2152,2160,1,88.0,90.0,2149.0,2151.0,,,,,verb.cognition,25,subject,The brave Wunzh,27,145,172,male,1.0,primary
16,5,turning,120,127,2181,2188,1,88.0,90.0,2149.0,2151.0,,,,,verb.motion,26,subject,The brave Wunzh,27,145,172,male,1.0,primary
