sentence_id,text,start,end
0,"In time past--we can not tell exactly how many, many years ago--a poor Indian was living, with his wife and children, in a beautiful part of the country. ",0,154
1,"He was not only poor, but he had the misfortune to be inexpert in procuring food for his family. ",154,251
2,His children were all too young to give him assistance. ,251,307
3,"Although of a lowly condition and straitened in his circumstances, he was a man of kind and contented disposition. ",307,422
4,He was always thankful to the Great Spirit for every thing he received. ,422,494
5,He even stood in the door of his lodge to bless the birds that flew past in the summer evenings. ,494,591
6,"Although, if he had been of a complaining temper, he might have repined that they were not rather spread upon the table for his evening meal. ",591,733
7,"The same gracious and sweet disposition was inherited by his eldest son, who had now arrived at the proper age to undertake the ceremony of the fast. ",733,883
8,This was to learn what kind of a spirit would be his guide and guardian through life. ,883,969
9,"Wunzh, for this was his name, had been an obedient boy from his infancy--pensive, thoughtful, and gentle--so that he was beloved by the whole family. ",969,1119
10,"As soon as the first buds of spring appeared, and the delicious fragrance of the young year began to sweeten the air, his father, with the help of his younger brothers, built for Wunzh the customary little lodge. ",1119,1332
11,"It was at a retired spot at some distance from their own, where he would not be disturbed during the solemn rite. ",1332,1446
12,"To prepare himself, Wunzh sought to clear his heart of every evil thought, and to think of nothing that was not good, and beautiful, and kindly. ",1446,1591
13,"That he might store his mind with pleasant ideas for his dreams, for the first few days he amused himself by walking in the woods and over the mountains, examining the early plants and flowers. ",1591,1785
14,"As he rambled far and wide, through the wild country, he felt a strong desire to know how the plants and herbs and berries grew, without any aid from man. ",1785,1940
15,"He wondered why it was that some kinds were good to eat, and that others were possessed of medicinal or poisonous power. ",1940,2061
16,"After he had become too weak to walk about, and confined himself strictly to the lodge, he recalled these thoughts, and turning them in his mind, he wished he could dream of something that would prove a benefit to his father and family, and to all others of his fellow-creatures. ",2061,2341
17,"""True,"" thought Wunzh, ""the Great Spirit made all things, and it is to him that we owe our lives. ",2341,2439
18,"Could he not make it easier for us to get our food, than by hunting animals and taking fish? ",2439,2532
19,"I must try to find this out in my visions."" ",2532,2576
20,"On the third day Wunzh became weak and faint, and kept his bed. ",2576,2640
21,"Suddenly he fancied, as he lay thus, that a bright light came in at the lodge door. ",2640,2724
22,"Before he was aware, he saw a handsome young man, with a complexion of the softest and purest white, coming down from the sky, and advancing toward him. ",2724,2877
23,"The beautiful stranger was richly and gayly dressed, having on a great many garments of green and yellow colors, but differing in their deeper or lighter shades. ",2877,3039
24,"He had a plume of waving feathers on his head, and all his motions were graceful. ",3039,3121
25,"He reminded Wunzh of the deep green of the summer grass, and the clear amber of the summer sky, and the gentle blowing of the summer wind. ",3121,3260
26,"Beautiful as the stranger was, he paused on a little mound of earth, just before the door of the lodge. ",3260,3364
27,"""I am sent to you, my friend,"" said this celestial visitor, in a voice most soft and musical to listen to. ",3364,3471
28,"""I am sent to you by that Great Spirit who made all things in the sky, and on the earth. ",3471,3560
29,He has seen and knows your motives in fasting. ,3560,3607
30,"He sees that it is from a kind and benevolent wish to do good to your people, and to procure a benefit for them. ",3607,3720
31,"He sees that you do not seek for strength in war, or the praise of the men of the bloody hand. ",3720,3815
32,"I am sent to instruct you and to show you how you can do your kindred good."" ",3815,3892
33,"He then told the young man to arise, and to prepare to wrestle with him. ",3892,3965
34,It was only by this means that he could hope to succeed in his wishes. ,3965,4036
35,"Wunzh knew how weak he was from fasting, but the voice of the stranger was cheery, and put such a courage in his heart, that he promptly sprang up, determined to die rather than fail. ",4036,4220
36,Brave Wunzh! ,4220,4233
37,"if you ever accomplish any thing, it will be through the power of the resolve that spoke within you at that moment. ",4233,4349
38,"He began the trial, and after a long-sustained struggle he was almost overpowered, when the beautiful stranger said: ""My friend, it is enough for once, I will come again to try you;""",4349,4531
39,""" and smiling on him, he returned through the air in the same direction in which he had come. ",4530,4624
40,"The next day, although he saw how sweetly the wild-flowers bloomed upon the slopes, and the birds warbled from the woodland, he longed to see the celestial visitor, and to hear his voice. ",4624,4812
41,"To his great joy he reappeared at the same hour, toward the going down of the sun, and re-challenged Wunzh to a trial of strength. ",4812,4943
42,"The brave Wunzh felt that his strength of body was even less than on the day before, but the courage of his mind seemed to grow. ",4943,5072
43,"Observing this, and how Wunzh put his whole heart in the struggle, the stranger again spoke to him in the words he used before, adding: ""To-morrow will be your last trial. ",5072,5244
44,"Be strong, my friend, for this is the only way in which you can overcome me and obtain the boon you seek."" ",5244,5351
45,The light which shone after him as he left Wunzh was brighter than before. ,5351,5426
46,On the third day he came again and renewed the struggle. ,5426,5483
