sentence_id,event_id,temporal_rank
0,1,0
2,0,1
1,3,2
2,1,3
4,1,4
4,2,5
4,3,6
5,6,7
5,1,8
5,7,9
7,0,10
7,3,11
8,0,12
8,2,13
8,4,14
8,5,15
9,0,16
9,4,17
9,5,18
10,0,19
10,1,20
11,3,21
11,4,22
14,0,23
14,1,24
14,2,25
15,1,26
15,2,27
15,3,28
16,1,29
16,2,30
16,3,31
17,0,32
18,3,33
19,1,34
19,4,35
20,1,36
21,0,37
22,2,38
22,1,39
22,6,40
22,3,41
23,2,42
23,3,43
23,5,44
24,1,45
25,1,46
26,1,47
26,2,48
28,1,49
29,0,50
28,4,51
30,1,52
30,2,53
31,0,54
31,2,55
31,4,56
33,9,57
33,5,58
33,6,59
34,0,60
38,0,61
36,0,62
38,1,63
39,0,64
38,2,65
41,0,66
39,2,67
42,3,68
42,0,69
44,0,70
43,0,71
44,1,72
45,0,73
45,2,74
46,0,75
46,3,76
46,5,77
46,6,78
47,1,79
47,3,80
47,5,81
47,6,82
47,7,83
48,0,84
48,1,85
48,2,86
49,1,87
52,0,88
52,2,89
52,3,90
52,6,91
53,0,92
53,1,93
53,2,94
53,3,95
54,3,96
54,1,97
54,4,98
55,0,99
55,1,100
56,0,101
56,1,102
56,5,103
60,0,104
60,1,105
60,2,106
60,3,107
60,4,108
61,2,109
61,0,110
62,1,111
62,2,112
62,3,113
62,7,114
62,5,115
63,0,116
64,2,117
66,1,118
65,1,119
64,3,120
66,2,121
70,1,122
70,2,123
71,2,124
74,2,125
73,1,126
75,3,127
75,0,128
75,5,129
75,4,130
76,1,131
76,2,132
77,1,133
77,0,134
77,3,135
78,1,136
80,0,137
79,4,138
81,2,139
82,0,140
83,3,141
83,4,142
84,0,143
84,2,144
87,2,145
86,0,146
84,3,147
88,0,148
88,1,149
90,0,150
90,1,151
90,2,152
90,3,153
93,0,154
91,3,155
91,1,156
93,2,157
93,4,158
94,0,159
96,0,160
96,8,161
96,3,162
96,6,163
97,0,164
97,4,165
97,5,166
98,0,167
99,0,168
98,2,169
99,1,170
99,2,171
99,6,172
100,0,173
100,1,174
100,3,175
101,1,176
102,0,177
102,2,178
103,2,179
102,5,180
104,2,181
104,3,182
105,2,183
105,1,184
106,1,185
106,3,186
108,0,187
108,2,188
110,1,189
109,2,190
108,3,191
110,4,192
110,2,193
113,0,194
113,3,195
115,2,196
118,0,197
115,4,198
118,1,199
119,4,200
119,0,201
120,1,202
122,0,203
123,3,204
125,1,205
123,4,206
125,3,207
126,1,208
126,2,209
126,3,210
126,5,211
127,0,212
131,3,213
130,3,214
127,1,215
132,5,216
132,3,217
134,0,218
136,1,219
136,3,220
137,1,221
137,3,222
137,2,223
139,1,224
139,2,225
141,5,226
