coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
1,a woman,a woman,0,27,34,0
2,a son,his,6,30,33,1
2,a son,his,3,39,42,1
2,a son,he,2,52,54,0
2,a son,he,7,39,41,0
2,a son,he,1,73,75,0
2,a son,He,1,0,2,0
2,a son,a son,0,43,48,0
2,a son,he,2,4,6,0
3,his mother,her,94,53,56,0
3,his mother,herself,94,41,48,0
3,his mother,she,94,37,40,0
3,his mother,her,94,23,26,0
3,his mother,she,94,9,12,0
3,his mother,his mother,93,31,41,0
3,his mother,she,48,5,8,0
3,his mother,she,47,99,102,0
3,his mother,she,47,75,78,0
3,his mother,her,91,31,34,0
3,his mother,her,47,62,65,0
3,his mother,she,90,104,107,0
3,his mother,her,90,37,40,0
3,his mother,His mother,90,0,10,0
3,his mother,she,47,9,12,0
3,his mother,her,48,62,65,1
3,his mother,her,46,133,136,0
3,his mother,her,46,102,105,0
3,his mother,she,46,80,83,0
3,his mother,she,46,49,52,0
3,his mother,she,46,9,12,0
3,his mother,His mother,45,0,10,0
3,his mother,her,118,74,77,0
3,his mother,she,119,13,16,0
3,his mother,her,110,140,143,0
3,his mother,her,90,61,64,0
3,his mother,herself,48,74,81,0
3,his mother,she,94,97,100,0
3,his mother,she,7,8,11,0
3,his mother,his mother,6,30,40,0
3,his mother,she,49,14,17,0
3,his mother,she,55,3,6,0
3,his mother,His mother,54,0,10,0
3,his mother,she,100,3,6,0
3,his mother,her,102,124,127,0
3,his mother,she,55,52,55,0
3,his mother,her,53,74,77,1
3,his mother,her,99,95,98,0
3,his mother,me,120,28,30,0
3,his mother,his mother,3,39,49,0
3,his mother,her,52,9,12,1
3,his mother,his mother,98,10,20,0
4,the youth,He,61,0,2,0
4,the youth,he,60,105,107,0
4,the youth,the youth,75,17,26,0
4,the youth,him,74,35,38,0
4,the youth,the youth,115,35,44,0
4,the youth,you,71,9,12,0
4,the youth,you,73,52,55,0
4,the youth,I,113,0,1,0
4,the youth,you,72,4,7,0
4,the youth,I,113,50,51,0
4,the youth,me,113,42,44,0
4,the youth,you,70,15,18,0
4,the youth,You,69,1,4,0
