sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
2,0,agreed,verb.communication,11,12
2,0,agreed,verb.communication,12,12
3,1,thought,verb.cognition,9,15
3,1,thought,verb.cognition,15,15
4,1,dressed,verb.body,15,15
7,2,put,verb.contact,18,18
8,4,overtake,verb.competition,18,19
10,3,tear,verb.contact,28,14
11,2,returned,verb.communication,14,14
11,3,has,verb.possession,14,14
19,2,said,verb.communication,40,18
19,2,said,verb.communication,40,40
23,1,wearing,verb.body,18,45
24,0,flung,verb.contact,18,18
24,1,managed,verb.social,18,48
24,4,wake,verb.body,18,48
27,1,found,verb.possession,45,18
